INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTIDX,BANKNIFTY,31-Jul-24,52535.0,52640.0,52131.95,52270.65,52250.0,52670.35,52265.6,52270.65,1946745,-123660,147765,116024355186.75,75691
FUTIDX,BANKNIFTY,28-Aug-24,52779.35,52779.35,52330.9,52459.75,52439.0,52829.9,52265.6,52459.75,367260,41160,16443,12955775586.0,9560
FUTIDX,BANKNIFTY,25-Sep-24,53198.85,53199.0,52644.05,52753.75,52750.0,53108.9,52265.6,52753.75,67575,-1305,3215,2548040349.0,2008
FUTIDX,FINNIFTY,30-Jul-24,23772.55,23789.2,23571.3,23605.55,23581.95,23802.15,23596.35,23605.55,67950,-4275,3134,1852708963.75,1659
FUTIDX,FINNIFTY,27-Aug-24,23850.0,23878.6,23666.35,23708.0,23717.4,23895.95,23596.35,23708.0,6275,-1475,311,184578997.5,229
FUTIDX,FINNIFTY,24-Sep-24,23799.0,23799.0,23711.0,23711.0,23711.0,23872.5,23596.35,23711.0,400,150,8,4761240.0,4
FUTIDX,MIDCPNIFTY,29-Jul-24,12460.45,12462.85,12161.25,12190.95,12169.2,12477.1,12194.1,12190.95,2139600,-63550,21291,13049431280.0,12513
FUTIDX,MIDCPNIFTY,26-Aug-24,12465.3,12465.3,12161.05,12177.55,12169.85,12477.2,12194.1,12177.55,272650,52400,3746,2295293095.0,2390
FUTIDX,MIDCPNIFTY,30-Sep-24,12401.05,12426.5,12163.05,12188.05,12185.7,12492.4,12194.1,12188.05,9500,700,247,151864342.5,195
FUTIDX,NIFTY,25-Jul-24,24761.0,24837.0,24504.0,24529.1,24529.85,24809.05,24530.9,24529.1,14118050,-935725,320221,197231944967.5,126089
FUTIDX,NIFTY,29-Aug-24,24935.85,24950.0,24635.25,24657.2,24659.9,24924.15,24530.9,24657.2,3159475,389200,72298,44761894650.0,32861
FUTIDX,NIFTY,26-Sep-24,25067.95,25067.95,24775.0,24794.75,24795.0,25044.05,24530.9,24794.75,442850,42575,10467,6514203960.0,6356
FUTIDX,NIFTYNXT50,26-Jul-24,73170.2,73170.2,71422.05,71480.3,71423.0,73264.65,71353.0,71480.3,10530,1350,1383,996221664.5,1130
FUTIDX,NIFTYNXT50,30-Aug-24,73589.85,73589.85,71801.15,71911.6,71860.0,73561.35,71353.0,71911.6,2560,1080,257,186043001.5,213
FUTIDX,NIFTYNXT50,27-Sep-24,73559.05,73559.05,72250.0,72316.1,72250.0,73976.2,71353.0,72316.1,220,140,17,12353445.0,17
FUTSTK,AARTIIND,25-Jul-24,705.3,705.3,669.0,671.45,669.75,705.65,671.3,671.45,9622000,-1426000,5151,3519853050.0,3571
FUTSTK,AARTIIND,29-Aug-24,708.85,708.85,673.0,675.5,673.0,709.35,671.3,675.5,2749000,1847000,3190,2192668950.0,1940
FUTSTK,AARTIIND,26-Sep-24,710.0,710.0,678.0,680.25,678.5,714.0,671.3,680.25,148000,52000,140,97096250.0,129
FUTSTK,ABB,25-Jul-24,7905.0,7925.0,7604.1,7625.65,7605.5,7901.35,7620.45,7625.65,1428625,-44375,5106,4917544206.25,4516
FUTSTK,ABB,29-Aug-24,7981.9,7998.75,7663.25,7676.5,7665.0,7950.4,7620.45,7676.5,247500,61875,1864,1804558243.75,1703
FUTSTK,ABB,26-Sep-24,8007.25,8007.5,7720.3,7732.65,7720.3,8012.65,7620.45,7732.65,13000,1500,43,42013862.5,39
FUTSTK,ABBOTINDIA,25-Jul-24,28299.95,28394.55,27257.5,27387.8,27303.95,28395.6,27404.25,27387.8,138180,-14000,1859,1033919279.0,1754
FUTSTK,ABBOTINDIA,29-Aug-24,28451.45,28603.5,27462.65,27593.75,27532.55,28599.7,27404.25,27593.75,16100,8020,830,463946523.0,767
FUTSTK,ABBOTINDIA,26-Sep-24,28500.0,28500.0,27765.65,27802.9,27765.65,28723.65,27404.25,27802.9,580,40,7,3916362.0,7
FUTSTK,ABCAPITAL,25-Jul-24,223.0,223.57,215.01,215.67,215.64,223.58,215.62,215.67,61565400,-1620000,2730,3215199366.0,2525
FUTSTK,ABCAPITAL,29-Aug-24,224.97,224.98,216.55,217.18,217.36,224.81,215.62,217.18,11340000,2845800,1380,1638452610.0,1239
FUTSTK,ABCAPITAL,26-Sep-24,225.87,225.87,218.6,218.9,219.06,226.88,215.62,218.9,545400,135000,37,44201808.0,37
FUTSTK,ABFRL,25-Jul-24,322.45,323.45,313.5,316.8,316.75,324.35,315.6,316.8,32065800,-1245400,7441,6144286070.0,6052
FUTSTK,ABFRL,29-Aug-24,321.9,322.05,313.0,316.8,317.45,323.75,315.6,316.8,11408800,3294200,3027,2497261780.0,2188
FUTSTK,ABFRL,26-Sep-24,318.0,318.0,312.9,315.0,316.15,320.25,315.6,315.0,278200,10400,24,19702800.0,23
FUTSTK,ACC,25-Jul-24,2682.7,2686.9,2596.0,2617.75,2610.0,2694.45,2619.85,2617.75,4093500,-318000,5053,3985733985.0,4195
FUTSTK,ACC,29-Aug-24,2700.05,2705.0,2614.0,2636.2,2627.55,2712.05,2619.85,2636.2,621300,306900,1815,1440024570.0,1264
FUTSTK,ACC,26-Sep-24,2681.3,2686.5,2638.7,2654.0,2654.0,2728.0,2619.85,2654.0,20700,3600,24,19122345.0,23
FUTSTK,ADANIENT,25-Jul-24,3100.1,3100.1,2997.3,3003.4,3004.55,3097.75,3005.7,3003.4,15064800,-1119300,11433,10421742225.0,8339
FUTSTK,ADANIENT,29-Aug-24,3113.95,3122.1,3020.0,3024.8,3025.0,3119.0,3005.7,3024.8,2564700,901800,5709,5238070125.0,3913
FUTSTK,ADANIENT,26-Sep-24,3138.0,3138.0,3046.5,3049.45,3052.7,3143.45,3005.7,3049.45,100200,39000,170,157571625.0,150
FUTSTK,ADANIPORTS,25-Jul-24,1495.2,1503.7,1464.15,1467.05,1466.3,1496.85,1469.3,1467.05,24014800,-2057200,13465,7970718360.0,8789
FUTSTK,ADANIPORTS,29-Aug-24,1503.85,1513.4,1475.0,1477.45,1477.0,1506.95,1469.3,1477.45,3881200,1790000,6492,3873382660.0,2970
FUTSTK,ADANIPORTS,26-Sep-24,1509.05,1524.7,1487.5,1488.65,1487.5,1516.6,1469.3,1488.65,118400,19200,102,61284760.0,93
FUTSTK,ALKEM,25-Jul-24,5276.6,5276.6,5124.05,5140.4,5145.0,5274.4,5133.65,5140.4,1317700,-182200,3866,2001506680.0,3348
FUTSTK,ALKEM,29-Aug-24,5277.65,5280.6,5155.6,5172.1,5179.7,5304.1,5133.65,5172.1,249700,203700,2507,1305613595.0,2056
FUTSTK,ALKEM,26-Sep-24,5215.95,5230.0,5156.5,5156.5,5156.5,5331.1,5133.65,5156.5,1300,200,3,1560245.0,3
FUTSTK,AMBUJACEM,25-Jul-24,691.45,691.45,671.65,677.25,677.75,691.7,677.9,677.25,30195900,-424800,8967,5484129975.0,7396
FUTSTK,AMBUJACEM,29-Aug-24,693.4,694.2,676.3,682.0,682.25,696.2,677.9,682.0,2852100,1270800,2625,1614827385.0,2287
FUTSTK,AMBUJACEM,26-Sep-24,693.4,698.7,681.3,686.15,686.5,699.95,677.9,686.15,87300,11700,54,33432525.0,48
FUTSTK,APOLLOHOSP,25-Jul-24,6448.8,6529.35,6366.0,6381.8,6371.35,6518.45,6381.95,6381.8,1415750,-156750,3104,2489728000.0,2826
FUTSTK,APOLLOHOSP,29-Aug-24,6528.55,6532.9,6402.2,6415.35,6405.05,6552.95,6381.95,6415.35,117250,49375,731,589044956.25,656
FUTSTK,APOLLOHOSP,26-Sep-24,6516.0,6516.0,6450.0,6458.1,6460.1,6594.7,6381.95,6458.1,5125,625,11,8911043.75,9
FUTSTK,APOLLOTYRE,25-Jul-24,537.0,537.0,501.8,523.25,521.05,550.95,525.6,523.25,10793300,-3632900,13478,11911696680.0,11646
FUTSTK,APOLLOTYRE,29-Aug-24,550.0,550.0,504.4,522.65,520.95,554.15,525.6,522.65,2021300,812600,3462,3070568900.0,2995
FUTSTK,APOLLOTYRE,26-Sep-24,546.4,549.25,512.25,523.55,522.0,554.75,525.6,523.55,129200,45900,118,105562860.0,111
FUTSTK,ASHOKLEY,25-Jul-24,228.55,228.55,222.81,223.77,223.5,228.47,223.95,223.77,73560000,-5115000,5627,6355273600.0,5081
FUTSTK,ASHOKLEY,29-Aug-24,229.73,229.73,224.42,225.43,225.2,229.99,223.95,225.43,11205000,3470000,1760,2002574750.0,1615
FUTSTK,ASHOKLEY,26-Sep-24,230.0,231.0,226.41,227.16,226.74,232.5,223.95,227.16,1010000,35000,51,58330650.0,50
FUTSTK,ASIANPAINT,25-Jul-24,2931.0,2984.95,2924.2,2948.5,2950.4,2936.1,2946.05,2948.5,13423600,-532600,20223,11959870180.0,17029
