INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTIDX,BANKNIFTY,31-Jul-24,52405.3,52462.75,51411.0,51818.2,51765.0,52286.55,51778.3,51818.2,1612470,-184155,260609,202995649447.5,137647
FUTIDX,BANKNIFTY,28-Aug-24,52519.95,52666.0,51663.7,52042.45,52010.0,52484.0,51778.3,52042.45,594765,175155,76443,59793066533.25,44276
FUTIDX,BANKNIFTY,25-Sep-24,52750.0,52930.0,52000.0,52332.65,52300.0,52753.85,51778.3,52332.65,79350,6180,8188,6439133758.5,5337
FUTIDX,FINNIFTY,30-Jul-24,23687.95,23716.05,23155.0,23352.25,23337.95,23651.5,23304.1,23352.25,60175,-6600,17143,10049154951.25,10812
FUTIDX,FINNIFTY,27-Aug-24,23784.7,23805.0,23277.8,23449.75,23420.0,23757.8,23304.1,23449.75,13100,4925,2329,1368707023.75,1420
FUTIDX,FINNIFTY,24-Sep-24,23433.0,23985.45,23433.0,23511.75,23464.55,23999.9,23304.1,23511.75,825,300,52,30691802.5,47
FUTIDX,MIDCPNIFTY,29-Jul-24,12432.0,12497.9,11932.0,12391.35,12375.85,12395.25,12375.6,12391.35,1888900,-210400,40126,24701455940.0,26198
FUTIDX,MIDCPNIFTY,26-Aug-24,12426.45,12499.0,11936.95,12407.15,12386.65,12406.2,12375.6,12407.15,791600,273250,19201,11819520277.5,10104
FUTIDX,MIDCPNIFTY,30-Sep-24,12487.95,12506.7,11987.35,12405.65,12399.5,12416.75,12375.6,12405.65,12500,-1650,467,287522425.0,359
FUTIDX,NIFTY,25-Jul-24,24551.9,24561.0,24066.0,24463.1,24452.95,24509.1,24479.05,24463.1,11628100,-1631500,535506,326230451321.25,198585
FUTIDX,NIFTY,29-Aug-24,24625.0,24680.0,24184.1,24582.45,24567.5,24627.7,24479.05,24582.45,4668725,930625,222917,136455552252.5,101134
FUTIDX,NIFTY,26-Sep-24,24775.0,24809.95,24330.5,24719.65,24701.0,24758.95,24479.05,24719.65,523925,61850,24154,14857035828.75,14467
FUTIDX,NIFTYNXT50,26-Jul-24,72305.05,72520.0,69205.0,71734.55,71610.0,72373.55,71632.2,71734.55,7110,-180,1043,743374938.5,804
FUTIDX,NIFTYNXT50,30-Aug-24,72555.0,72650.0,69600.0,72032.5,71900.0,72441.15,71632.2,72032.5,4670,460,758,542243981.5,606
