INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTIDX,BANKNIFTY,31-Jul-24,52100.0,52435.35,51932.25,52286.55,52308.0,52270.65,52280.4,52286.55,1796625,-150120,106225,83230454453.25,52152
FUTIDX,BANKNIFTY,28-Aug-24,52385.95,52610.0,52151.2,52484.0,52510.0,52459.75,52280.4,52484.0,419610,52350,18205,14316808949.25,11559
FUTIDX,BANKNIFTY,25-Sep-24,52675.0,52880.45,52444.0,52753.85,52760.0,52753.75,52280.4,52753.85,73170,5595,2126,1681373981.25,1500
FUTIDX,FINNIFTY,30-Jul-24,23524.1,23718.2,23470.6,23651.5,23652.0,23605.55,23626.8,23651.5,66775,-1175,2672,1579122616.25,1597
FUTIDX,FINNIFTY,27-Aug-24,23600.0,23819.95,23580.05,23757.8,23749.3,23708.0,23626.8,23757.8,8175,1900,278,165019366.25,235
FUTIDX,FINNIFTY,24-Sep-24,23881.0,24180.0,23845.0,23999.9,23999.9,23711.0,23626.8,23931.2,525,125,7,4206647.5,5
FUTIDX,MIDCPNIFTY,29-Jul-24,12134.8,12465.0,12052.85,12395.25,12416.95,12190.95,12412.8,12395.25,2099300,-40300,36251,22384460222.5,21221
FUTIDX,MIDCPNIFTY,26-Aug-24,12140.1,12475.0,12039.0,12406.2,12425.0,12177.55,12412.8,12406.2,518350,245700,10465,6476774652.5,4471
FUTIDX,MIDCPNIFTY,30-Sep-24,12112.0,12478.0,12095.0,12416.75,12428.0,12188.05,12412.8,12416.75,14150,4650,365,225538405.0,270
FUTIDX,NIFTY,25-Jul-24,24468.55,24607.4,24378.85,24509.1,24517.0,24529.1,24509.25,24509.1,13259600,-858450,235289,144149223805.0,97740
FUTIDX,NIFTY,29-Aug-24,24574.4,24722.0,24512.4,24627.7,24639.7,24657.2,24509.25,24627.7,3738100,578625,81019,49894322301.25,42092
FUTIDX,NIFTY,26-Sep-24,24756.6,24849.0,24653.0,24758.95,24769.05,24794.75,24509.25,24758.95,462075,19225,8348,5167261122.5,4704
FUTIDX,NIFTYNXT50,26-Jul-24,71245.1,72505.0,70501.85,72373.55,72418.0,71480.3,72265.95,72373.55,7290,-3240,1078,776697631.5,745
FUTIDX,NIFTYNXT50,30-Aug-24,71700.0,72700.0,71205.0,72441.15,72534.95,71911.6,72265.95,72441.15,4210,1650,563,407110648.5,394
FUTIDX,NIFTYNXT50,27-Sep-24,71500.0,72950.0,71500.0,72950.0,72950.0,72316.1,72265.95,73240.85,190,-30,14,10174983.5,14
FUTSTK,AARTIIND,25-Jul-24,669.0,699.4,662.5,697.15,696.0,671.45,697.65,697.15,8026000,-1596000,4762,3261728950.0,4295
FUTSTK,AARTIIND,29-Aug-24,672.7,703.0,665.85,700.9,700.0,675.5,697.65,700.9,4615000,1866000,4411,3040608050.0,3778
FUTSTK,AARTIIND,26-Sep-24,675.0,707.0,673.6,705.4,704.3,680.25,697.65,705.4,139000,-9000,70,48454450.0,62
FUTSTK,ABB,25-Jul-24,7557.9,7770.0,7457.55,7716.65,7710.6,7625.65,7716.9,7716.65,1062875,-365750,5688,5462096250.0,5066
FUTSTK,ABB,29-Aug-24,7664.9,7817.3,7508.7,7766.6,7759.65,7676.5,7716.9,7766.6,571625,324125,4586,4433046250.0,4238
FUTSTK,ABB,26-Sep-24,7646.75,7857.9,7646.75,7816.4,7805.9,7732.65,7716.9,7816.4,14125,1125,38,36964175.0,35
FUTSTK,ABBOTINDIA,25-Jul-24,27233.65,27999.45,27077.1,27905.65,27850.55,27387.8,27944.35,27905.65,101280,-36900,3249,1803724614.0,3126
FUTSTK,ABBOTINDIA,29-Aug-24,27352.65,28206.65,27277.65,28101.2,28063.8,27593.75,27944.35,28101.2,50380,34280,2580,1443252525.0,2424
FUTSTK,ABBOTINDIA,26-Sep-24,27676.0,27978.9,27500.0,27978.9,27978.9,27802.9,27944.35,28315.7,560,-20,4,2222676.0,4
FUTSTK,ABCAPITAL,25-Jul-24,214.0,218.75,212.83,217.81,217.5,215.67,217.54,217.81,50257800,-11307600,3534,4142371158.0,3112
FUTSTK,ABCAPITAL,29-Aug-24,214.51,220.1,214.51,219.26,219.06,217.18,217.54,219.26,21168000,9828000,2877,3396763296.0,2530
FUTSTK,ABCAPITAL,26-Sep-24,217.4,221.77,217.4,221.15,221.15,218.9,217.54,220.43,561600,16200,23,27356454.0,21
FUTSTK,ABFRL,25-Jul-24,315.3,319.8,312.9,314.2,315.35,316.8,313.15,314.2,26902200,-5163600,5009,4110057640.0,4519
FUTSTK,ABFRL,29-Aug-24,315.65,319.15,312.2,313.8,315.45,316.8,313.15,313.8,15867800,4459000,3769,3084443570.0,3404
FUTSTK,ABFRL,26-Sep-24,312.0,317.3,310.0,310.9,313.0,315.0,313.15,310.9,288600,10400,89,72200570.0,55
FUTSTK,ACC,25-Jul-24,2620.6,2667.55,2611.6,2636.7,2640.75,2617.75,2635.05,2636.7,2981100,-1112400,5932,4714863915.0,5333
FUTSTK,ACC,29-Aug-24,2635.85,2686.4,2634.75,2655.55,2661.4,2636.2,2635.05,2655.55,1732500,1111200,4918,3936915585.0,4429
FUTSTK,ACC,26-Sep-24,2690.0,2701.0,2673.8,2678.0,2678.0,2654.0,2635.05,2678.0,19200,-1500,16,12898890.0,15
FUTSTK,ADANIENT,25-Jul-24,3000.0,3028.0,2970.4,2999.2,2996.5,3003.4,3000.8,2999.2,11592000,-3472800,15988,14408197380.0,12724
FUTSTK,ADANIENT,29-Aug-24,3021.2,3050.0,2992.9,3020.0,3020.0,3024.8,3000.8,3020.0,5736600,3171900,15068,13675133565.0,11805
FUTSTK,ADANIENT,26-Sep-24,3034.0,3069.7,3020.0,3041.45,3037.7,3049.45,3000.8,3041.45,108600,8400,77,70323195.0,71
FUTSTK,ADANIPORTS,25-Jul-24,1460.2,1474.95,1443.1,1464.7,1465.5,1467.05,1467.35,1464.7,18164000,-5850800,19760,11588105300.0,13738
FUTSTK,ADANIPORTS,29-Aug-24,1473.95,1485.15,1454.0,1475.1,1475.5,1477.45,1467.35,1475.1,9446000,5564800,17132,10118965400.0,11532
FUTSTK,ADANIPORTS,26-Sep-24,1465.95,1495.85,1465.95,1486.2,1487.0,1488.65,1467.35,1486.2,126000,7600,65,38609400.0,59
FUTSTK,ALKEM,25-Jul-24,5119.1,5248.05,5119.05,5214.25,5216.45,5140.4,5216.6,5214.25,814600,-503100,7348,3826544565.0,6748
FUTSTK,ALKEM,29-Aug-24,5160.0,5279.5,5145.9,5244.5,5245.5,5172.1,5216.6,5244.5,750100,500400,6506,3408765250.0,6098
FUTSTK,ALKEM,26-Sep-24,5271.0,5271.0,5271.0,5271.0,5271.0,5156.5,5216.6,5285.95,1300,0,1,527100.0,1
FUTSTK,AMBUJACEM,25-Jul-24,677.05,689.0,673.9,686.0,684.35,677.25,687.1,686.0,20124900,-10071000,15116,9305996850.0,9637
FUTSTK,AMBUJACEM,29-Aug-24,682.35,693.95,679.0,690.8,688.65,682.0,687.1,690.8,12827700,9975600,12865,7976161440.0,7850
FUTSTK,AMBUJACEM,26-Sep-24,686.5,697.25,686.5,694.9,694.65,686.15,687.1,694.9,99000,11700,45,28080540.0,41
FUTSTK,APOLLOHOSP,25-Jul-24,6406.1,6437.95,6365.9,6411.45,6422.2,6381.8,6402.65,6411.45,955125,-460625,5213,4175041450.0,4685
FUTSTK,APOLLOHOSP,29-Aug-24,6440.85,6470.65,6345.9,6445.25,6465.55,6415.35,6402.65,6445.25,546250,429000,4785,3852227093.75,4393
FUTSTK,APOLLOHOSP,26-Sep-24,6468.85,6500.0,6461.1,6500.0,6500.0,6458.1,6402.65,6487.75,5375,250,9,7286106.25,9
FUTSTK,APOLLOTYRE,25-Jul-24,522.8,527.55,520.05,524.2,524.25,523.25,525.4,524.2,7648300,-3145000,4509,4018218090.0,4115
FUTSTK,APOLLOTYRE,29-Aug-24,523.0,527.95,520.0,525.85,526.05,522.65,525.4,525.85,4600200,2578900,3266,2914962375.0,3094
FUTSTK,APOLLOTYRE,26-Sep-24,526.3,528.0,522.5,527.35,527.5,523.55,525.4,527.35,132600,3400,18,16108775.0,18
FUTSTK,ASHOKLEY,25-Jul-24,223.75,232.67,222.6,230.34,230.26,223.77,230.7,230.34,50995000,-22565000,12393,14218638950.0,10805
FUTSTK,ASHOKLEY,29-Aug-24,225.71,233.54,224.26,231.18,231.2,225.43,230.7,231.18,27070000,15865000,7408,8554518700.0,6482
FUTSTK,ASHOKLEY,26-Sep-24,227.56,235.0,225.85,232.91,232.65,227.16,230.7,232.91,915000,-95000,181,210669600.0,159
FUTSTK,ASIANPAINT,25-Jul-24,2938.2,2978.3,2922.55,2941.8,2940.25,2948.5,2934.25,2941.8,8556000,-4867600,33305,19638133470.0,27685
FUTSTK,ASIANPAINT,29-Aug-24,2952.9,2991.15,2937.05,2952.05,2950.05,2963.15,2934.25,2952.05,6204400,3350600,27445,16243326500.0,23106
FUTSTK,ASIANPAINT,26-Sep-24,2971.55,3004.4,2955.2,2966.6,2969.15,2978.85,2934.25,2966.6,135800,6200,160,95252880.0,157
FUTSTK,ASTRAL,25-Jul-24,2246.65,2310.1,2221.65,2268.5,2270.9,2250.4,2260.2,2268.5,1924915,-1050721,10774,8990590849.25,9973
FUTSTK,ASTRAL,29-Aug-24,2245.1,2306.2,2217.1,2263.75,2266.0,2248.15,2260.2,2263.75,1472771,1026866,6800,5670016283.55,6284
FUTSTK,ASTRAL,26-Sep-24,2256.45,2306.0,2256.45,2270.0,2270.0,2255.45,2260.2,2290.25,16515,1468,21,17660590.5,17
FUTSTK,ATUL,25-Jul-24,6899.5,7432.0,6799.95,7289.25,7266.0,6967.95,7272.8,7289.25,690400,-333100,11758,8454437980.0,9557
FUTSTK,ATUL,29-Aug-24,6945.0,7482.0,6852.05,7335.85,7324.65,7020.55,7272.8,7335.85,434100,142600,7838,5692158785.0,6863
FUTSTK,ATUL,26-Sep-24,7047.15,7500.0,7030.0,7385.0,7385.0,7065.1,7272.8,7385.0,6700,-200,47,34371875.0,40
FUTSTK,AUBANK,25-Jul-24,633.05,662.1,627.05,657.15,657.0,634.5,655.4,657.15,17534000,-4554000,21643,14029081600.0,19619
FUTSTK,AUBANK,29-Aug-24,618.45,643.7,614.4,639.85,642.5,621.25,655.4,639.85,9294000,3483000,12624,7957699450.0,11554
FUTSTK,AUBANK,26-Sep-24,617.1,636.95,607.25,633.55,636.0,618.55,655.4,633.55,414000,-78000,291,182787100.0,217
FUTSTK,AUROPHARMA,25-Jul-24,1326.05,1361.7,1315.3,1346.05,1347.2,1331.1,1344.55,1346.05,10094150,-3206500,16283,12078102877.5,12075
FUTSTK,AUROPHARMA,29-Aug-24,1333.0,1370.0,1325.0,1354.15,1357.1,1340.05,1344.55,1354.15,5177150,4181650,11074,8273512032.5,7407
FUTSTK,AUROPHARMA,26-Sep-24,1334.45,1374.8,1334.45,1361.0,1361.0,1346.5,1344.55,1362.45,37950,2200,29,21701542.5,26
FUTSTK,AXISBANK,25-Jul-24,1290.0,1292.5,1280.5,1284.1,1284.8,1294.3,1282.6,1284.1,32843125,-9778125,35703,28699404750.0,28668
FUTSTK,AXISBANK,29-Aug-24,1292.7,1301.3,1288.65,1292.55,1293.35,1302.7,1282.6,1292.55,15926250,11013125,25243,20425056718.75,19756
FUTSTK,AXISBANK,26-Sep-24,1310.55,1310.55,1298.3,1300.3,1302.0,1310.55,1282.6,1300.3,105625,-12500,105,85525625.0,89
FUTSTK,BAJAJ-AUTO,25-Jul-24,9347.85,9425.0,9259.4,9398.6,9410.0,9372.4,9409.75,9398.6,1605975,-502050,12399,8719556392.5,10129
FUTSTK,BAJAJ-AUTO,29-Aug-24,9436.85,9485.0,9327.2,9461.2,9469.95,9441.7,9409.75,9461.2,678150,448350,8645,6121922415.0,7099
FUTSTK,BAJAJ-AUTO,26-Sep-24,9455.15,9530.85,9392.5,9527.15,9525.85,9506.05,9409.75,9527.15,13725,0,42,29847056.25,42
FUTSTK,BAJAJFINSV,25-Jul-24,1634.9,1649.6,1626.0,1630.6,1632.25,1639.4,1631.15,1630.6,9819500,-2059500,7459,6110834450.0,6705
FUTSTK,BAJAJFINSV,29-Aug-24,1645.25,1660.65,1637.15,1642.15,1643.05,1650.45,1631.15,1642.15,3083000,2099500,5367,4428386400.0,5069
FUTSTK,BAJAJFINSV,26-Sep-24,1650.0,1669.9,1650.0,1652.5,1654.65,1662.55,1631.15,1652.5,53000,-7000,45,37207675.0,27
FUTSTK,BAJFINANCE,25-Jul-24,6871.4,6952.5,6836.6,6892.65,6891.55,6933.7,6884.2,6892.65,7030750,-1613125,23833,20618503443.75,18776
FUTSTK,BAJFINANCE,29-Aug-24,6972.95,6999.0,6883.65,6939.4,6940.5,6980.4,6884.2,6939.4,3241125,1865875,20332,17711555612.5,16019
FUTSTK,BAJFINANCE,26-Sep-24,7030.0,7045.0,6949.8,6988.95,6990.0,7029.45,6884.2,6988.95,84000,9125,209,183060037.5,186
