close,date,high,low,oi,open,symbol,time,volume
1933.65,2020-02-20,1933.65,1933.65,0.0,1933.65,NIFTY20FEB2010150CE,09:49:00,75
1975.05,2020-02-20,1975.05,1975.05,75.0,1975.05,NIFTY20FEB2010150CE,09:54:00,75
1918.2,2020-02-20,1975.05,1918.2,75.0,1975.05,NIFTY20FEB2010150CE,14:54:00,1350
1970.9,2020-02-20,1970.9,1918.2,75.0,1918.2,NIFTY20FEB2010150CE,14:55:00,1350
0.2,2020-02-20,0.2,0.2,0.0,0.2,NIFTY20FEB2010150PE,09:54:00,75
0.05,2020-02-20,0.05,0.05,75.0,0.05,NIFTY20FEB2010150PE,14:04:00,75
0.15,2020-02-20,0.15,0.15,150.0,0.15,NIFTY20FEB2010150PE,14:54:00,1350
0.1,2020-02-20,0.15,0.1,150.0,0.15,NIFTY20FEB2010150PE,14:55:00,1575
0.15,2020-02-20,0.15,0.1,150.0,0.1,NIFTY20FEB2010150PE,14:56:00,150
3.0,2020-02-20,3.0,0.5,150.0,0.5,NIFTY20FEB2010200PE,09:16:00,300
0.1,2020-02-20,0.1,0.1,450.0,0.1,NIFTY20FEB2010200PE,09:51:00,150
0.15,2020-02-20,0.15,0.15,450.0,0.15,NIFTY20FEB2010200PE,10:10:00,75
0.05,2020-02-20,0.05,0.05,525.0,0.05,NIFTY20FEB2010200PE,10:16:00,75
0.1,2020-02-20,0.1,0.1,450.0,0.1,NIFTY20FEB2010200PE,10:51:00,75
1810.0,2020-02-20,1810.0,1810.0,2175.0,1810.0,NIFTY20FEB2010300CE,13:57:00,75
1815.0,2020-02-20,1815.0,1810.0,2175.0,1810.0,NIFTY20FEB2010300CE,14:06:00,75
1815.0,2020-02-20,1815.0,1815.0,2175.0,1815.0,NIFTY20FEB2010300CE,14:07:00,75
1825.0,2020-02-20,1825.0,1815.0,2175.0,1815.0,NIFTY20FEB2010300CE,14:21:00,75
1825.0,2020-02-20,1825.0,1825.0,2175.0,1825.0,NIFTY20FEB2010300CE,14:22:00,75
1821.55,2020-02-20,1825.0,1821.55,2175.0,1825.0,NIFTY20FEB2010300CE,14:23:00,75
1823.0,2020-02-20,1823.0,1821.55,2175.0,1821.55,NIFTY20FEB2010300CE,14:25:00,75
0.1,2020-02-20,0.1,0.1,75.0,0.1,NIFTY20FEB2010450PE,09:51:00,75
0.05,2020-02-20,0.05,0.05,4950.0,0.05,NIFTY20FEB2010900PE,11:50:00,75
0.1,2020-02-20,0.1,0.1,336600.0,0.1,NIFTY20FEB2011000PE,09:15:00,9000
0.1,2020-02-20,0.1,0.1,336600.0,0.1,NIFTY20FEB2011000PE,09:17:00,5175
0.1,2020-02-20,0.1,0.1,336600.0,0.1,NIFTY20FEB2011000PE,09:20:00,900
0.1,2020-02-20,0.1,0.1,336600.0,0.1,NIFTY20FEB2011000PE,09:22:00,3600
0.05,2020-02-20,0.05,0.05,336600.0,0.05,NIFTY20FEB2011000PE,09:26:00,37950
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,09:34:00,2400
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,09:35:00,450
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,09:37:00,3300
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,09:38:00,450
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,09:39:00,2325
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,09:43:00,5025
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,10:00:00,2400
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,11:47:00,750
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,11:54:00,900
0.05,2020-02-20,0.05,0.05,341400.0,0.05,NIFTY20FEB2011000PE,14:25:00,6075
0.05,2020-02-20,0.05,0.05,341475.0,0.05,NIFTY20FEB2011000PE,15:16:00,750
0.1,2020-02-20,0.1,0.1,525.0,0.1,NIFTY20FEB2011050PE,10:29:00,525
0.05,2020-02-20,0.05,0.05,525.0,0.05,NIFTY20FEB2011050PE,14:45:00,525
0.1,2020-02-20,0.1,0.1,75.0,0.1,NIFTY20FEB2011100PE,13:21:00,75
0.05,2020-02-20,0.05,0.05,75.0,0.05,NIFTY20FEB2011100PE,13:22:00,75
0.1,2020-02-20,0.1,0.1,75.0,0.1,NIFTY20FEB2011100PE,13:23:00,75
0.05,2020-02-20,0.05,0.05,150.0,0.05,NIFTY20FEB2011100PE,14:46:00,3000
0.05,2020-02-20,0.05,0.05,3150.0,0.05,NIFTY20FEB2011100PE,14:49:00,600
0.05,2020-02-20,0.05,0.05,3150.0,0.05,NIFTY20FEB2011100PE,15:07:00,1275
0.05,2020-02-20,0.05,0.05,5025.0,0.05,NIFTY20FEB2011100PE,15:16:00,75
0.05,2020-02-20,0.4,0.05,10875.0,0.4,NIFTY20FEB2011200PE,09:15:00,375
0.05,2020-02-20,0.05,0.05,11100.0,0.05,NIFTY20FEB2011200PE,09:35:00,75
0.05,2020-02-20,0.05,0.05,11100.0,0.05,NIFTY20FEB2011200PE,09:40:00,75
0.05,2020-02-20,0.05,0.05,11100.0,0.05,NIFTY20FEB2011200PE,11:17:00,3750
0.05,2020-02-20,0.05,0.05,11100.0,0.05,NIFTY20FEB2011200PE,12:33:00,1125
0.6,2020-02-20,0.6,0.6,23025.0,0.6,NIFTY20FEB2011300PE,09:15:00,225
0.05,2020-02-20,0.05,0.05,23025.0,0.05,NIFTY20FEB2011300PE,09:16:00,825
0.05,2020-02-20,0.05,0.05,22425.0,0.05,NIFTY20FEB2011300PE,09:21:00,675
0.05,2020-02-20,0.05,0.05,21750.0,0.05,NIFTY20FEB2011300PE,13:58:00,75
0.05,2020-02-20,0.05,0.05,21675.0,0.05,NIFTY20FEB2011300PE,14:05:00,150
0.05,2020-02-20,0.05,0.05,21525.0,0.05,NIFTY20FEB2011300PE,15:16:00,3300
0.05,2020-02-20,0.05,0.05,18225.0,0.05,NIFTY20FEB2011300PE,15:23:00,150
722.0,2020-02-20,722.0,722.0,375.0,722.0,NIFTY20FEB2011400CE,13:53:00,225
0.05,2020-02-20,0.05,0.05,200775.0,0.05,NIFTY20FEB2011400PE,09:15:00,150
0.05,2020-02-20,0.05,0.05,200625.0,0.05,NIFTY20FEB2011400PE,09:18:00,600
0.05,2020-02-20,0.05,0.05,200025.0,0.05,NIFTY20FEB2011400PE,11:41:00,75
0.05,2020-02-20,0.05,0.05,200025.0,0.05,NIFTY20FEB2011400PE,13:53:00,225
0.05,2020-02-20,0.05,0.05,199800.0,0.05,NIFTY20FEB2011400PE,15:07:00,675
0.05,2020-02-20,0.05,0.05,13425.0,0.05,NIFTY20FEB2011450PE,12:56:00,75
591.0,2020-02-20,591.0,591.0,1575.0,591.0,NIFTY20FEB2011500CE,09:15:00,75
665.0,2020-02-20,665.0,591.0,1575.0,591.0,NIFTY20FEB2011500CE,12:48:00,75
640.0,2020-02-20,665.0,640.0,1575.0,665.0,NIFTY20FEB2011500CE,13:16:00,75
637.0,2020-02-20,640.0,637.0,1575.0,640.0,NIFTY20FEB2011500CE,13:17:00,225
620.2,2020-02-20,637.0,620.2,1275.0,637.0,NIFTY20FEB2011500CE,14:04:00,75
635.2,2020-02-20,635.2,620.2,1275.0,620.2,NIFTY20FEB2011500CE,14:25:00,300
600.0,2020-02-20,635.2,600.0,1275.0,635.2,NIFTY20FEB2011500CE,14:56:00,375
585.0,2020-02-20,600.0,585.0,1275.0,600.0,NIFTY20FEB2011500CE,15:24:00,150
0.1,2020-02-20,0.2,0.1,684000.0,0.15,NIFTY20FEB2011500PE,09:15:00,114150
0.1,2020-02-20,0.1,0.1,684000.0,0.1,NIFTY20FEB2011500PE,09:16:00,106125
0.1,2020-02-20,0.1,0.05,682200.0,0.1,NIFTY20FEB2011500PE,09:17:00,72150
0.05,2020-02-20,0.1,0.05,682200.0,0.1,NIFTY20FEB2011500PE,09:18:00,6075
0.05,2020-02-20,0.1,0.05,682200.0,0.05,NIFTY20FEB2011500PE,09:19:00,27075
0.1,2020-02-20,0.1,0.05,664500.0,0.05,NIFTY20FEB2011500PE,09:20:00,1425
0.1,2020-02-20,0.1,0.1,664500.0,0.1,NIFTY20FEB2011500PE,09:21:00,6000
0.1,2020-02-20,0.1,0.1,664500.0,0.1,NIFTY20FEB2011500PE,09:22:00,1500
0.05,2020-02-20,0.1,0.05,666000.0,0.1,NIFTY20FEB2011500PE,09:23:00,9000
0.05,2020-02-20,0.05,0.05,666000.0,0.05,NIFTY20FEB2011500PE,09:24:00,150
0.1,2020-02-20,0.1,0.05,666000.0,0.05,NIFTY20FEB2011500PE,09:25:00,4500
0.1,2020-02-20,0.1,0.1,666000.0,0.1,NIFTY20FEB2011500PE,09:26:00,3825
0.1,2020-02-20,0.1,0.1,668700.0,0.1,NIFTY20FEB2011500PE,09:28:00,225
0.05,2020-02-20,0.1,0.05,668700.0,0.1,NIFTY20FEB2011500PE,09:33:00,40500
0.05,2020-02-20,0.05,0.05,668700.0,0.05,NIFTY20FEB2011500PE,09:34:00,81150
0.05,2020-02-20,0.05,0.05,668700.0,0.05,NIFTY20FEB2011500PE,09:35:00,2775
0.05,2020-02-20,0.05,0.05,670800.0,0.05,NIFTY20FEB2011500PE,09:36:00,3300
0.05,2020-02-20,0.1,0.05,670800.0,0.05,NIFTY20FEB2011500PE,09:37:00,13725
0.05,2020-02-20,0.05,0.05,667575.0,0.05,NIFTY20FEB2011500PE,09:38:00,3150
0.05,2020-02-20,0.05,0.05,667575.0,0.05,NIFTY20FEB2011500PE,09:39:00,975
0.05,2020-02-20,0.1,0.05,667575.0,0.05,NIFTY20FEB2011500PE,09:40:00,1275
0.05,2020-02-20,0.05,0.05,665625.0,0.05,NIFTY20FEB2011500PE,09:41:00,975
0.05,2020-02-20,0.1,0.05,665625.0,0.05,NIFTY20FEB2011500PE,09:42:00,38700
0.05,2020-02-20,0.05,0.05,665625.0,0.05,NIFTY20FEB2011500PE,09:43:00,4425
0.05,2020-02-20,0.05,0.05,669525.0,0.05,NIFTY20FEB2011500PE,09:44:00,2250
0.05,2020-02-20,0.05,0.05,669525.0,0.05,NIFTY20FEB2011500PE,09:45:00,375
0.05,2020-02-20,0.05,0.05,668025.0,0.05,NIFTY20FEB2011500PE,09:47:00,3600
0.1,2020-02-20,0.1,0.05,668025.0,0.05,NIFTY20FEB2011500PE,09:48:00,3825
0.1,2020-02-20,0.1,0.1,668025.0,0.1,NIFTY20FEB2011500PE,09:49:00,5625
0.05,2020-02-20,0.1,0.05,656400.0,0.1,NIFTY20FEB2011500PE,09:56:00,75
0.05,2020-02-20,0.05,0.05,656400.0,0.05,NIFTY20FEB2011500PE,09:58:00,75
0.05,2020-02-20,0.05,0.05,656250.0,0.05,NIFTY20FEB2011500PE,10:00:00,225
0.1,2020-02-20,0.1,0.1,656025.0,0.1,NIFTY20FEB2011500PE,10:07:00,75
0.1,2020-02-20,0.1,0.1,656025.0,0.1,NIFTY20FEB2011500PE,10:09:00,3075
0.05,2020-02-20,0.1,0.05,656025.0,0.1,NIFTY20FEB2011500PE,10:10:00,18675
0.05,2020-02-20,0.05,0.05,647025.0,0.05,NIFTY20FEB2011500PE,10:21:00,3000
0.05,2020-02-20,0.05,0.05,647025.0,0.05,NIFTY20FEB2011500PE,10:22:00,4500
0.05,2020-02-20,0.05,0.05,647025.0,0.05,NIFTY20FEB2011500PE,10:26:00,5700
0.1,2020-02-20,0.1,0.05,633825.0,0.05,NIFTY20FEB2011500PE,10:37:00,150
0.05,2020-02-20,0.1,0.05,633825.0,0.1,NIFTY20FEB2011500PE,10:40:00,4350
0.05,2020-02-20,0.05,0.05,629475.0,0.05,NIFTY20FEB2011500PE,10:42:00,3150
0.05,2020-02-20,0.05,0.05,629475.0,0.05,NIFTY20FEB2011500PE,10:44:00,1950
0.05,2020-02-20,0.05,0.05,624375.0,0.05,NIFTY20FEB2011500PE,11:14:00,1050
0.05,2020-02-20,0.05,0.05,623325.0,0.05,NIFTY20FEB2011500PE,11:15:00,75
0.05,2020-02-20,0.05,0.05,623250.0,0.05,NIFTY20FEB2011500PE,11:33:00,375
0.1,2020-02-20,0.1,0.05,622875.0,0.05,NIFTY20FEB2011500PE,11:36:00,75
0.1,2020-02-20,0.1,0.1,622950.0,0.1,NIFTY20FEB2011500PE,11:39:00,75
0.1,2020-02-20,0.1,0.1,623025.0,0.1,NIFTY20FEB2011500PE,11:41:00,75
0.05,2020-02-20,0.1,0.05,623100.0,0.1,NIFTY20FEB2011500PE,11:46:00,225
0.05,2020-02-20,0.05,0.05,623100.0,0.05,NIFTY20FEB2011500PE,11:47:00,75
0.05,2020-02-20,0.05,0.05,622800.0,0.05,NIFTY20FEB2011500PE,12:04:00,150
0.05,2020-02-20,0.05,0.05,622650.0,0.05,NIFTY20FEB2011500PE,12:28:00,300
0.05,2020-02-20,0.05,0.05,622350.0,0.05,NIFTY20FEB2011500PE,12:37:00,1500
0.05,2020-02-20,0.05,0.05,622350.0,0.05,NIFTY20FEB2011500PE,12:38:00,450
0.05,2020-02-20,0.05,0.05,620400.0,0.05,NIFTY20FEB2011500PE,12:39:00,750
0.05,2020-02-20,0.05,0.05,619650.0,0.05,NIFTY20FEB2011500PE,12:41:00,18000
0.05,2020-02-20,0.05,0.05,619650.0,0.05,NIFTY20FEB2011500PE,12:42:00,27000
0.05,2020-02-20,0.05,0.05,574725.0,0.05,NIFTY20FEB2011500PE,13:16:00,75
0.05,2020-02-20,0.05,0.05,574725.0,0.05,NIFTY20FEB2011500PE,13:17:00,225
0.05,2020-02-20,0.05,0.05,574500.0,0.05,NIFTY20FEB2011500PE,13:55:00,4950
0.05,2020-02-20,0.05,0.05,569625.0,0.05,NIFTY20FEB2011500PE,14:01:00,75
0.05,2020-02-20,0.05,0.05,569550.0,0.05,NIFTY20FEB2011500PE,14:04:00,75
0.05,2020-02-20,0.05,0.05,569550.0,0.05,NIFTY20FEB2011500PE,14:56:00,5325
0.05,2020-02-20,0.05,0.05,564600.0,0.05,NIFTY20FEB2011500PE,15:18:00,75
0.05,2020-02-20,0.05,0.05,564600.0,0.05,NIFTY20FEB2011500PE,15:20:00,4950
0.05,2020-02-20,0.05,0.05,559650.0,0.05,NIFTY20FEB2011500PE,15:26:00,675
0.05,2020-02-20,0.05,0.05,559650.0,0.05,NIFTY20FEB2011500PE,15:27:00,225
0.15,2020-02-20,0.4,0.15,26325.0,0.4,NIFTY20FEB2011550PE,09:15:00,1800
0.15,2020-02-20,0.15,0.15,26325.0,0.15,NIFTY20FEB2011550PE,09:16:00,75
0.05,2020-02-20,0.05,0.05,26325.0,0.05,NIFTY20FEB2011550PE,09:17:00,525
0.05,2020-02-20,0.05,0.05,26250.0,0.05,NIFTY20FEB2011550PE,09:31:00,75
0.1,2020-02-20,0.1,0.1,26175.0,0.1,NIFTY20FEB2011550PE,09:46:00,750
0.15,2020-02-20,0.15,0.1,26175.0,0.1,NIFTY20FEB2011550PE,09:47:00,600
0.05,2020-02-20,0.05,0.05,26175.0,0.05,NIFTY20FEB2011550PE,15:21:00,450
2.0,2020-02-20,2.0,0.05,26175.0,0.05,NIFTY20FEB2011550PE,15:29:00,4050
513.9,2020-02-20,513.9,513.9,1575.0,513.9,NIFTY20FEB2011600CE,09:45:00,75
508.0,2020-02-20,513.9,508.0,1575.0,513.9,NIFTY20FEB2011600CE,09:51:00,75
503.8,2020-02-20,508.0,503.8,1575.0,508.0,NIFTY20FEB2011600CE,10:07:00,75
541.15,2020-02-20,541.15,503.8,1575.0,503.8,NIFTY20FEB2011600CE,12:45:00,300
533.35,2020-02-20,541.15,533.35,1500.0,541.15,NIFTY20FEB2011600CE,14:25:00,300
493.0,2020-02-20,533.35,493.0,1425.0,533.35,NIFTY20FEB2011600CE,14:55:00,75
488.0,2020-02-20,493.0,488.0,1425.0,493.0,NIFTY20FEB2011600CE,15:17:00,75
480.0,2020-02-20,488.0,480.0,1425.0,488.0,NIFTY20FEB2011600CE,15:25:00,75
0.1,2020-02-20,0.4,0.1,385500.0,0.35,NIFTY20FEB2011600PE,09:15:00,2550
0.1,2020-02-20,0.15,0.1,385500.0,0.1,NIFTY20FEB2011600PE,09:16:00,18150
0.1,2020-02-20,0.1,0.1,386625.0,0.1,NIFTY20FEB2011600PE,09:17:00,4650
0.1,2020-02-20,0.1,0.1,386625.0,0.1,NIFTY20FEB2011600PE,09:18:00,3150
0.1,2020-02-20,0.1,0.05,386625.0,0.1,NIFTY20FEB2011600PE,09:19:00,63975
0.1,2020-02-20,0.1,0.1,334125.0,0.1,NIFTY20FEB2011600PE,09:20:00,9000
0.1,2020-02-20,0.1,0.1,334125.0,0.1,NIFTY20FEB2011600PE,09:21:00,5025
0.1,2020-02-20,0.1,0.1,334125.0,0.1,NIFTY20FEB2011600PE,09:22:00,4875
0.1,2020-02-20,0.1,0.1,332175.0,0.1,NIFTY20FEB2011600PE,09:23:00,4200
