INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTSTK,ADANIENT,25-Jul-24,2995.6,3005.55,2956.15,2972.5,2971.0,2992.7,2970.65,2972.5,5456400,-4282200,18096,16179801795.0,12607
FUTSTK,ADANIENT,29-Aug-24,3011.85,3024.05,2977.0,2992.5,2987.25,3011.9,2970.65,2992.5,11930400,4391100,19283,17355587880.0,13145
FUTSTK,ADANIENT,26-Sep-24,3030.0,3045.0,3000.7,3016.55,3015.2,3035.75,2970.65,3016.55,188700,48000,207,187817910.0,176
FUTSTK,ADANIPORTS,25-Jul-24,1502.55,1513.3,1476.75,1481.65,1480.65,1509.05,1484.8,1481.65,4748000,-7782400,24479,14576997380.0,14126
FUTSTK,ADANIPORTS,29-Aug-24,1518.55,1523.55,1486.5,1491.3,1491.0,1518.95,1484.8,1491.3,22942400,7626400,25924,15540607980.0,15112
FUTSTK,ADANIPORTS,26-Sep-24,1529.7,1529.7,1498.75,1503.2,1503.45,1531.05,1484.8,1503.2,210800,75600,262,158324800.0,224
FUTSTK,ALKEM,25-Jul-24,5202.25,5274.0,5156.5,5190.45,5203.95,5184.3,5193.15,5190.45,139900,-400300,5915,3089774435.0,5365
FUTSTK,ALKEM,29-Aug-24,5233.6,5307.4,5191.55,5224.15,5235.8,5214.25,5193.15,5224.15,1449700,424600,6886,3617273265.0,6247
FUTSTK,ALKEM,26-Sep-24,5242.15,5324.35,5242.15,5250.6,5256.85,5247.0,5193.15,5250.6,2400,1000,19,10018200.0,17
FUTSTK,AMBUJACEM,25-Jul-24,688.1,691.85,680.35,683.35,684.0,690.05,682.4,683.35,7397100,-7247700,11304,6966629280.0,7352
FUTSTK,AMBUJACEM,29-Aug-24,693.0,696.9,684.5,687.65,688.15,694.8,682.4,687.65,24954300,6633900,11316,7019842320.0,7312
FUTSTK,AMBUJACEM,26-Sep-24,697.3,699.6,689.8,692.95,693.4,698.85,682.4,692.95,104400,9000,22,13741200.0,22
FUTSTK,APOLLOHOSP,25-Jul-24,6412.65,6438.85,6348.75,6416.9,6422.55,6408.85,6422.6,6416.9,201375,-397250,4829,3862825075.0,3535
FUTSTK,APOLLOHOSP,29-Aug-24,6425.95,6470.0,6377.55,6449.55,6456.9,6439.05,6422.6,6449.55,1428500,439000,5233,4208039856.25,3894
FUTSTK,APOLLOHOSP,26-Sep-24,6429.55,6509.5,6429.55,6502.4,6509.5,6492.8,6422.6,6502.4,6500,625,14,11339268.75,12
FUTSTK,APOLLOTYRE,25-Jul-24,519.9,537.95,515.65,535.3,534.0,517.1,539.25,535.3,3515600,-1679600,4113,3708992850.0,3565
FUTSTK,APOLLOTYRE,29-Aug-24,522.6,540.05,518.35,537.7,535.9,519.5,539.25,537.7,8556100,1810500,4994,4519789660.0,4287
FUTSTK,APOLLOTYRE,26-Sep-24,523.5,540.0,523.5,539.25,538.6,521.5,539.25,539.25,147900,6800,67,60898250.0,65
FUTSTK,ASHOKLEY,25-Jul-24,229.57,233.28,226.89,232.24,232.23,229.4,232.5,232.24,20950000,-17740000,6258,7172306550.0,5068
FUTSTK,ASHOKLEY,29-Aug-24,231.01,234.79,228.35,233.67,233.86,230.8,232.5,233.67,59060000,19000000,8018,9256536550.0,6759
FUTSTK,ASHOKLEY,26-Sep-24,231.91,236.0,230.0,235.1,235.5,232.19,232.5,235.1,1065000,85000,100,116635050.0,98
FUTSTK,ASIANPAINT,25-Jul-24,2898.1,2928.15,2888.7,2917.6,2919.4,2902.2,2912.8,2917.6,1370000,-3562400,24709,14386895820.0,17139
