Time,CE_OI,CE_CHNG_IN_OI,CE_Volume,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_PRICE,CE_ASK_QTY,strikePrice,PE_CHNG_IN_OI,PE_Volume,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_PRICE,PE_ASK_QTY,PE_OI,Nifty Current Price,COI_by_Volume_Call,COI_by_Volume_Put
09:23:12 AM,351,0,8,0.0,1148.9,-29.799999999999955,500,1156.35,1159.4,50,18300,1722,7581,22.49,2.85,-0.1999999999999997,24250,2.8,2.85,15350,22517,19454.8,0.0,11.357340720221606
09:23:12 AM,92,0,0,0.0,0.0,0.0,150,1090.3,1110.75,350,18350,577,1827,21.61,2.85,-0.1499999999999999,12550,2.85,2.9,7800,2624,19452.85,,15.790914066776136
09:23:12 AM,523,0,4,0.0,1061.95,-18.799999999999955,100,1056.55,1062.8,150,18400,2654,11682,21.0,3.0,-0.1499999999999999,10000,3.0,3.05,30550,16684,19454.8,0.0,11.359356274610512
09:23:12 AM,93,0,5,0.0,1008.1,-17.249999999999886,150,1005.95,1012.35,400,18450,467,3067,20.15,3.1,-0.1,7050,3.1,3.15,27850,2071,19452.85,0.0,7.613302901858493
09:23:12 AM,3365,2,59,0.0,951.05,-30.300000000000068,300,958.2,961.05,900,18500,6318,36623,19.43,3.25,-0.1499999999999999,157850,3.2,3.25,55300,82944,19452.85,1.694915254237288,8.625727002157115
09:23:12 AM,94,0,0,0.0,0.0,0.0,4900,895.2,912.35,5100,18550,2126,5372,18.85,3.55,0.0,17350,3.55,3.6,12850,4941,19454.8,,19.787788533134773
09:23:12 AM,1374,0,7,0.0,860.1,-25.100000000000023,100,851.5,853.3,100,18600,1102,15072,18.16,3.85,0.0500000000000002,35050,3.8,3.85,23050,27213,19454.8,0.0,3.655785562632696
09:23:12 AM,363,116,256,0.0,810.6,-19.399999999999977,450,810.4,811.95,100,18650,1209,6088,17.52,4.25,0.0999999999999996,500,4.2,4.25,23950,5137,19454.8,22.65625,9.929369250985545
09:23:12 AM,1715,20,94,0.0,751.0,-31.450000000000045,450,760.35,761.9,50,18700,4055,31935,16.89,4.65,-0.0499999999999998,13650,4.65,4.7,40850,72661,19452.85,10.638297872340424,6.348833568185376
09:23:12 AM,347,0,12,0.0,702.0,-34.85000000000002,50,704.2,707.1,50,18750,1902,11074,16.27,5.15,0.25,28650,5.1,5.15,13500,15245,19454.8,0.0,8.58768286075492
09:23:12 AM,3159,1,65,0.0,651.4,-33.39999999999998,50,655.95,657.0,200,18800,2885,29631,15.65,5.85,0.5,5700,5.8,5.85,14000,40159,19452.85,0.7692307692307693,4.868212345179035
09:23:12 AM,476,0,42,0.0,611.15,-23.600000000000023,50,613.35,615.25,600,18850,2407,14733,15.04,6.45,0.5,3950,6.45,6.5,15350,12073,19454.8,0.0,8.168736849249983
09:23:12 AM,3772,14,115,0.0,555.0,-32.799999999999955,150,558.0,559.25,100,18900,2135,34785,14.55,7.5,0.6500000000000004,25600,7.45,7.5,5750,55125,19452.85,6.086956521739131,3.068851516458244
09:23:12 AM,763,14,45,0.0,508.15,-31.300000000000068,700,514.65,515.8,100,18950,2311,18869,14.02,8.75,0.75,5000,8.75,8.8,6450,18279,19454.8,15.555555555555555,6.123800943346229
09:23:12 AM,11636,27,843,0.0,466.25,-24.25,700,467.0,467.25,100,19000,4227,47824,13.7,10.85,0.7999999999999989,4000,10.85,10.9,10250,71366,19452.85,1.601423487544484,4.419329207092673
09:23:12 AM,768,56,203,0.0,409.05,-34.44999999999999,700,412.45,413.45,700,19050,1040,25543,13.37,13.85,1.4499999999999993,3600,13.85,13.9,8100,20697,19452.85,13.79310344827586,2.03578279763536
09:23:12 AM,6217,11,882,0.0,367.7,-29.05000000000001,100,366.65,367.6,150,19100,5472,42407,12.95,16.75,1.25,4900,16.85,16.9,100,54693,19454.8,0.6235827664399093,6.451765038790766
09:23:12 AM,1303,-42,350,0.0,328.1,-22.899999999999977,700,328.7,329.5,700,19150,7029,36285,12.73,21.55,1.75,4650,21.55,21.6,900,26891,19452.85,-6.0,9.68582058701943
09:23:12 AM,10882,539,5897,0.0,286.55,-20.19999999999999,750,285.85,286.4,50,19200,11773,78290,12.54,27.85,2.400000000000002,5000,27.8,27.9,9600,68002,19452.85,4.570120400203494,7.518840209477583
