Date,Time,open,high,low,close,volume,oi
06-06-2024,11:30,1278.75,1279.55,1275.6,1275.6,8458,0
06-06-2024,11:35,1275.6,1275.6,1271.2,1272.35,16212,0
06-06-2024,11:40,1272.35,1273.4,1268.55,1272.55,35482,0
06-06-2024,11:45,1272.55,1273.95,1270,1270.35,41767,0
06-06-2024,11:50,1270.5,1275.55,1269.6,1274.75,21572,0
06-06-2024,11:55,1274.75,1280,1274.05,1278.15,43122,0
06-06-2024,12:00,1278.15,1279.95,1277.25,1279.3,4918,0
06-06-2024,12:05,1279.3,1286.5,1278.3,1283,39095,0
06-06-2024,12:10,1283,1283.6,1277,1279.05,6172,0
06-06-2024,12:15,1279.05,1283.95,1279.05,1280.7,35373,0
06-06-2024,12:20,1279.65,1282.85,1278.45,1280.25,50342,0
06-06-2024,12:25,1280.25,1289,1280.25,1287.15,25016,0
06-06-2024,12:30,1287.15,1290,1284.3,1287.2,17718,0
06-06-2024,12:35,1287.2,1289,1285.85,1288,9575,0
06-06-2024,12:40,1288,1292.95,1288,1291.05,26977,0
06-06-2024,12:45,1291.05,1300,1290.25,1298.9,27319,0
06-06-2024,12:50,1299.85,1301.95,1292.6,1293,33669,0
06-06-2024,12:55,1292.75,1293.95,1289.5,1289.95,8809,0
06-06-2024,13:00,1289.95,1292,1289.05,1289.4,13834,0
06-06-2024,13:05,1289.3,1290,1284.65,1286.2,7135,0
06-06-2024,13:10,1286.2,1289.1,1285.55,1287.2,6146,0
06-06-2024,13:15,1287.2,1292.9,1287.1,1292.1,8137,0
06-06-2024,13:20,1291.75,1295,1290,1293.35,13730,0
06-06-2024,13:25,1293.35,1294.35,1290.9,1294.35,27361,0
06-06-2024,13:30,1293.9,1300,1293.9,1300,14218,0
06-06-2024,13:35,1300,1300,1298.25,1299.75,16378,0
06-06-2024,13:40,1299.75,1302.4,1297.55,1302.4,14415,0
06-06-2024,13:45,1302.4,1303.7,1297.3,1300.9,16416,0
06-06-2024,13:50,1300.9,1300.9,1297.65,1299.95,6264,0
06-06-2024,13:55,1299.95,1300,1297.9,1299.45,3835,0
06-06-2024,14:00,1299.45,1300.5,1299.05,1299.05,2915,0
06-06-2024,14:05,1299.05,1301,1297.6,1300.45,5179,0
06-06-2024,14:10,1300.45,1301,1299.05,1300.35,7641,0
06-06-2024,14:15,1299.95,1300.9,1297.35,1297.4,7012,0
06-06-2024,14:20,1297.4,1299.45,1295.9,1297.5,6525,0
06-06-2024,14:25,1297.5,1299.7,1296,1296.4,5229,0
06-06-2024,14:30,1296.4,1297,1292.9,1294.85,10875,0
06-06-2024,14:35,1294.7,1295.1,1292.2,1293.9,3425,0
06-06-2024,14:40,1293.9,1296,1291.3,1296,7801,0
06-06-2024,14:45,1296,1298.9,1295.4,1297.6,7652,0
06-06-2024,14:50,1297.6,1297.6,1293.55,1294.4,6922,0
