Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
05-01: 09:15,81.75,1600.0,21650.0,-500,0.0,0,367.55,0.0,1300.0,50.0,2.150000000000034,LB,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0
05-01: 09:17,80.95,5150.0,24400.0,2750,-0.7999999999999972,SB,344.95,0.0,1300.0,0.0,-22.600000000000023,0,-2750.0,0.0,-2750.0,-2750,0.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,0.0,2750,0
05-01: 09:20,76.8,2950.0,26700.0,2300,-4.150000000000006,SB,350.0,350.0,1300.0,0.0,5.050000000000011,0,-2300.0,0.0,-2300.0,-5050,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,5050,0
05-01: 09:23,75.55,150.0,28000.0,1300,-1.25,SB,356.45,0.0,1300.0,0.0,6.449999999999989,0,-1300.0,0.0,-1300.0,-6350,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,6350,0
05-01: 09:25,70.4,600.0,28000.0,0,-5.149999999999992,0,361.15,250.0,1550.0,250.0,4.699999999999989,LB,0.0,0.0,0.0,-6350,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,6350,0
05-01: 09:26,70.7,800.0,28250.0,250,0.2999999999999971,LB,364.15,850.0,1650.0,100.0,3.0,LB,0.0,0.0,0.0,-6350,250.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6350,0
05-01: 09:29,70.6,1800.0,28500.0,250,-0.1000000000000085,SB,361.6,0.0,1650.0,0.0,-2.5499999999999545,0,-250.0,0.0,-250.0,-6600,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,6600,0
05-01: 09:31,73.4,50.0,28500.0,0,2.800000000000012,0,349.05,400.0,3150.0,1500.0,-12.550000000000011,SB,0.0,1500.0,1500.0,-5100,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,1500.0,6600,1500
05-01: 09:32,73.75,1650.0,27750.0,-750,0.3499999999999943,SC,349.05,0.0,3150.0,0.0,0.0,0,750.0,0.0,750.0,-4350,0.0,0.0,0.0,-750.0,0.0,0.0,0.0,0.0,-750.0,0.0,5850,1500
05-01: 09:36,72.8,550.0,31550.0,3800,-0.9500000000000028,SB,350.7,50.0,3150.0,0.0,1.6499999999999773,0,-3800.0,0.0,-3800.0,-8150,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,9650,1500
05-01: 09:41,71.65,650.0,31250.0,-300,-1.1499999999999917,LC,350.7,0.0,3150.0,0.0,0.0,0,-0.0,0.0,0.0,-8150,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9650,1500
05-01: 09:44,72.25,400.0,32250.0,1000,0.5999999999999943,LB,350.7,0.0,3150.0,0.0,0.0,0,0.0,0.0,0.0,-8150,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9650,1500
05-01: 09:47,72.9,1250.0,32200.0,-50,0.6500000000000057,SC,350.7,0.0,3150.0,0.0,0.0,0,50.0,0.0,50.0,-8100,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,-50.0,0.0,9600,1500
05-01: 09:53,74.3,450.0,32450.0,250,1.3999999999999917,LB,341.65,500.0,3450.0,300.0,-9.050000000000011,SB,0.0,300.0,300.0,-7800,250.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,300.0,9600,1800
05-01: 09:56,74.8,350.0,32700.0,250,0.5,LB,341.65,0.0,3450.0,0.0,0.0,0,0.0,0.0,0.0,-7800,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600,1800
05-01: 09:59,73.85,250.0,33000.0,300,-0.9500000000000028,SB,341.65,0.0,3450.0,0.0,0.0,0,-300.0,0.0,-300.0,-8100,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,9900,1800
05-01: 10:02,72.8,50.0,34250.0,1250,-1.0499999999999972,SB,341.65,0.0,3450.0,0.0,0.0,0,-1250.0,0.0,-1250.0,-9350,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,11150,1800
05-01: 10:06,74.0,350.0,34100.0,-150,1.2000000000000028,SC,341.65,0.0,3450.0,0.0,0.0,0,150.0,0.0,150.0,-9200,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,-150.0,0.0,11000,1800
05-01: 10:08,74.0,700.0,34250.0,150,0.0,0,345.7,50.0,3700.0,250.0,4.050000000000011,LB,0.0,0.0,0.0,-9200,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,11000,1800
05-01: 10:12,73.2,250.0,33950.0,-300,-0.7999999999999972,LC,345.7,0.0,3700.0,0.0,0.0,0,-0.0,0.0,0.0,-9200,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000,1800
05-01: 10:14,73.0,650.0,34400.0,450,-0.2000000000000028,SB,345.7,0.0,3700.0,0.0,0.0,0,-450.0,0.0,-450.0,-9650,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,11450,1800
05-01: 10:17,71.45,250.0,35250.0,850,-1.5499999999999972,SB,345.7,0.0,3700.0,0.0,0.0,0,-850.0,0.0,-850.0,-10500,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,12300,1800
05-01: 10:20,70.6,2150.0,35950.0,700,-0.8500000000000085,SB,345.7,0.0,3700.0,0.0,0.0,0,-700.0,0.0,-700.0,-11200,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,13000,1800
05-01: 10:26,70.1,300.0,36500.0,550,-0.5,SB,345.7,0.0,3700.0,0.0,0.0,0,-550.0,0.0,-550.0,-11750,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,13550,1800
05-01: 10:30,71.0,750.0,36350.0,-150,0.9000000000000057,SC,345.7,0.0,3700.0,0.0,0.0,0,150.0,0.0,150.0,-11600,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,-150.0,0.0,13400,1800
05-01: 10:32,71.9,350.0,37050.0,700,0.9000000000000057,LB,345.7,0.0,3700.0,0.0,0.0,0,0.0,0.0,0.0,-11600,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400,1800
05-01: 10:35,73.1,1150.0,37150.0,100,1.1999999999999886,LB,345.7,0.0,3700.0,0.0,0.0,0,0.0,0.0,0.0,-11600,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400,1800
05-01: 10:39,73.5,750.0,37800.0,650,0.4000000000000057,LB,345.7,0.0,3700.0,0.0,0.0,0,0.0,0.0,0.0,-11600,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400,1800
05-01: 10:41,72.25,1600.0,37700.0,-100,-1.25,LC,345.7,0.0,3700.0,0.0,0.0,0,-0.0,0.0,0.0,-11600,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400,1800
05-01: 10:44,66.15,500.0,38500.0,800,-6.099999999999994,SB,345.7,0.0,3700.0,0.0,0.0,0,-800.0,0.0,-800.0,-12400,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,14200,1800
05-01: 10:47,60.9,3150.0,40300.0,1800,-5.250000000000007,SB,345.7,0.0,3700.0,0.0,0.0,0,-1800.0,0.0,-1800.0,-14200,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,16000,1800
05-01: 10:50,60.55,2800.0,42200.0,1900,-0.3500000000000014,SB,345.7,0.0,3700.0,0.0,0.0,0,-1900.0,0.0,-1900.0,-16100,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,17900,1800
05-01: 10:51,60.0,4600.0,42200.0,0,-0.5499999999999972,0,383.05,50.0,3750.0,50.0,37.35000000000002,LB,0.0,0.0,0.0,-16100,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,17900,1800
05-01: 10:53,59.75,4100.0,42400.0,200,-0.25,SB,383.05,0.0,3750.0,0.0,0.0,0,-200.0,0.0,-200.0,-16300,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,18100,1800
05-01: 10:56,56.45,4750.0,39850.0,-2550,-3.299999999999997,LC,391.0,0.0,3750.0,0.0,7.949999999999989,0,-0.0,0.0,0.0,-16300,0.0,0.0,-2550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18100,1800
05-01: 10:59,57.25,6200.0,41150.0,1300,0.7999999999999972,LB,391.0,0.0,3750.0,0.0,0.0,0,0.0,0.0,0.0,-16300,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18100,1800
05-01: 11:02,58.65,900.0,41550.0,400,1.3999999999999986,LB,391.0,0.0,3750.0,0.0,0.0,0,0.0,0.0,0.0,-16300,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18100,1800
05-01: 11:05,60.8,350.0,41300.0,-250,2.1499999999999986,SC,381.2,50.0,3700.0,-50.0,-9.800000000000011,LC,250.0,-0.0,250.0,-16050,0.0,0.0,0.0,-250.0,0.0,0.0,-50.0,0.0,-250.0,0.0,17850,1800
05-01: 11:08,61.9,450.0,41150.0,-150,1.1000000000000014,SC,381.2,0.0,3700.0,0.0,0.0,0,150.0,0.0,150.0,-15900,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,-150.0,0.0,17700,1800
05-01: 11:09,62.85,500.0,41150.0,0,0.9500000000000028,0,372.0,50.0,3750.0,50.0,-9.199999999999989,SB,0.0,50.0,50.0,-15850,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,17700,1850
05-01: 11:12,63.4,50.0,41300.0,150,0.5499999999999972,LB,372.0,0.0,3750.0,0.0,0.0,0,0.0,0.0,0.0,-15850,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17700,1850
05-01: 11:14,60.7,700.0,41750.0,450,-2.699999999999996,SB,372.0,0.0,3750.0,0.0,0.0,0,-450.0,0.0,-450.0,-16300,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,18150,1850
