Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
12-01: 09:15,318.4,1550.0,129100.0,-6550,23.94999999999999,SC,124.5,2100,176250,-3900,-27.75,LC,6550.0,-0.0,6550.0,6550,0.0,0.0,0.0,-6550.0,0.0,0.0,-3900.0,0.0,-6550.0,0.0,-6550,0
12-01: 09:17,327.6,1650.0,127050.0,-2050,9.200000000000044,SC,118.05,6750,180700,4450,-6.450000000000003,SB,2050.0,4450.0,6500.0,13050,0.0,0.0,0.0,-2050.0,0.0,4450.0,0.0,0.0,-2050.0,4450.0,-8600,4450
12-01: 09:20,333.0,4550.0,124750.0,-2300,5.399999999999977,SC,113.75,13500,182400,1700,-4.299999999999997,SB,2300.0,1700.0,4000.0,17050,0.0,0.0,0.0,-2300.0,0.0,1700.0,0.0,0.0,-2300.0,1700.0,-10900,6150
12-01: 09:23,332.0,3550.0,122800.0,-1950,-1.0,LC,111.7,11550,184200,1800,-2.049999999999997,SB,-0.0,1800.0,1800.0,18850,0.0,0.0,-1950.0,0.0,0.0,1800.0,0.0,0.0,0.0,1800.0,-10900,7950
12-01: 09:26,333.95,100.0,119600.0,-3200,1.9499999999999889,SC,113.6,2800,180700,-3500,1.8999999999999917,SC,3200.0,-3500.0,-300.0,18550,0.0,0.0,0.0,-3200.0,0.0,0.0,0.0,-3500.0,-3200.0,-3500.0,-14100,4450
12-01: 09:29,338.0,150.0,119050.0,-550,4.050000000000011,SC,109.5,3300,179350,-1350,-4.099999999999994,LC,550.0,-0.0,550.0,19100,0.0,0.0,0.0,-550.0,0.0,0.0,-1350.0,0.0,-550.0,0.0,-14650,4450
12-01: 09:32,336.0,150.0,117950.0,-1100,-2.0,LC,110.55,9600,180950,1600,1.0499999999999972,LB,-0.0,0.0,0.0,19100,0.0,0.0,-1100.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,-14650,4450
12-01: 09:35,333.7,450.0,118050.0,100,-2.300000000000012,SB,111.3,650,199200,18250,0.75,LB,-100.0,0.0,-100.0,19000,0.0,100.0,0.0,0.0,18250.0,0.0,0.0,0.0,100.0,0.0,-14550,4450
12-01: 09:38,329.05,100.0,118050.0,0,-4.649999999999977,0,112.9,1100,199050,-150,1.6000000000000083,SC,0.0,-150.0,-150.0,18850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,-150.0,-14550,4300
12-01: 09:41,335.4,450.0,118500.0,450,6.349999999999966,LB,110.85,3400,200000,950,-2.050000000000012,SB,0.0,950.0,950.0,19800,450.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,950.0,-14550,5250
12-01: 09:44,339.6,2400.0,119000.0,500,4.2000000000000455,LB,110.3,6950,206550,6550,-0.5499999999999972,SB,0.0,6550.0,6550.0,26350,500.0,0.0,0.0,0.0,0.0,6550.0,0.0,0.0,0.0,6550.0,-14550,11800
12-01: 09:47,339.2,250.0,119500.0,500,-0.4000000000000341,SB,108.8,650,209700,3150,-1.5,SB,-500.0,3150.0,2650.0,29000,0.0,500.0,0.0,0.0,0.0,3150.0,0.0,0.0,500.0,3150.0,-14050,14950
12-01: 09:50,342.7,200.0,119550.0,50,3.5,LB,106.55,1750,209700,0,-2.25,0,0.0,0.0,0.0,29000,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14050,14950
12-01: 09:51,338.4,600.0,119550.0,0,-4.300000000000011,0,108.0,850,207550,-2150,1.4500000000000028,SC,0.0,-2150.0,-2150.0,26850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2150.0,0.0,-2150.0,-14050,12800
12-01: 09:53,342.2,200.0,119550.0,0,3.8000000000000114,0,107.95,3600,206150,-1400,-0.0499999999999971,LC,0.0,-0.0,0.0,26850,0.0,0.0,0.0,0.0,0.0,0.0,-1400.0,0.0,0.0,0.0,-14050,12800
12-01: 09:54,348.3,850.0,119750.0,200,6.100000000000023,LB,105.95,6450,206150,0,-2.0,0,0.0,0.0,0.0,26850,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14050,12800
12-01: 09:56,346.95,450.0,119600.0,-150,-1.3500000000000227,LC,106.0,5600,216350,10200,0.0499999999999971,LB,-0.0,0.0,0.0,26850,0.0,0.0,-150.0,0.0,10200.0,0.0,0.0,0.0,0.0,0.0,-14050,12800
12-01: 09:59,350.0,300.0,119550.0,-50,3.050000000000012,SC,103.9,1350,220050,3700,-2.0999999999999943,SB,50.0,3700.0,3750.0,30600,0.0,0.0,0.0,-50.0,0.0,3700.0,0.0,0.0,-50.0,3700.0,-14100,16500
12-01: 10:02,352.7,0.0,119550.0,0,2.6999999999999886,0,101.85,1450,223400,3350,-2.050000000000012,SB,0.0,3350.0,3350.0,33950,0.0,0.0,0.0,0.0,0.0,3350.0,0.0,0.0,0.0,3350.0,-14100,19850
12-01: 10:03,361.85,1350.0,119450.0,-100,9.150000000000034,SC,99.8,5800,223400,0,-2.049999999999997,0,100.0,0.0,100.0,34050,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,-100.0,0.0,-14200,19850
