Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
29-01: 09:15,88.45,33750,342150,7650,22.40000000000001,LB,518.0,1350.0,75050.0,200,-74.64999999999998,SB,0.0,200.0,200.0,200,7650.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0,200
29-01: 09:17,86.9,14950,338000,-4150,-1.5499999999999972,LC,529.0,250.0,75050.0,0,11.0,0,-0.0,0.0,0.0,200,0.0,0.0,-4150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,200
29-01: 09:20,98.75,10700,339750,1750,11.849999999999994,LB,494.0,1200.0,75350.0,300,-35.0,SB,0.0,300.0,300.0,500,1750.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,300.0,0,500
29-01: 09:23,103.8,23250,342300,2550,5.049999999999997,LB,480.55,600.0,76400.0,1050,-13.449999999999989,SB,0.0,1050.0,1050.0,1550,2550.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,1050.0,0,1550
29-01: 09:26,118.0,10000,338400,-3900,14.200000000000005,SC,460.05,1250.0,76300.0,-100,-20.5,LC,3900.0,-0.0,3900.0,5450,0.0,0.0,0.0,-3900.0,0.0,0.0,-100.0,0.0,-3900.0,0.0,-3900,1550
29-01: 09:29,117.8,12750,335000,-3400,-0.2000000000000028,LC,464.75,1900.0,75650.0,-650,4.699999999999989,SC,-0.0,-650.0,-650.0,4800,0.0,0.0,-3400.0,0.0,0.0,0.0,0.0,-650.0,0.0,-650.0,-3900,900
29-01: 09:32,108.2,13450,334850,-150,-9.599999999999994,LC,475.0,3300.0,76000.0,350,10.25,LB,-0.0,0.0,0.0,4800,0.0,0.0,-150.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,-3900,900
29-01: 09:35,116.0,7950,334400,-450,7.799999999999997,SC,466.8,100.0,74800.0,-1200,-8.199999999999989,LC,450.0,-0.0,450.0,5250,0.0,0.0,0.0,-450.0,0.0,0.0,-1200.0,0.0,-450.0,0.0,-4350,900
29-01: 09:38,115.2,11000,338900,4500,-0.7999999999999972,SB,479.0,350.0,74600.0,-200,12.199999999999989,SC,-4500.0,-200.0,-4700.0,550,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,-200.0,4500.0,-200.0,150,700
29-01: 09:41,118.75,11950,338850,-50,3.549999999999997,SC,459.75,400.0,75150.0,550,-19.25,SB,50.0,550.0,600.0,1150,0.0,0.0,0.0,-50.0,0.0,550.0,0.0,0.0,-50.0,550.0,100,1250
