Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
30-01: 14:06,149.55,1250.0,107700.0,1900.0,-2.4499999999999886,SB,382.05,0.0,28350.0,0,-1.8999999999999773,0,-1900.0,0.0,-1900.0,-20750,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,24650,3900
30-01: 14:09,147.9,4400.0,108550.0,850.0,-1.6500000000000057,SB,403.65,50.0,28300.0,-50,21.59999999999997,SC,-850.0,-50.0,-900.0,-21650,0.0,850.0,0.0,0.0,0.0,0.0,0.0,-50.0,850.0,-50.0,25500,3850
30-01: 14:12,150.65,1050.0,109050.0,500.0,2.75,LB,396.15,0.0,28300.0,0,-7.5,0,0.0,0.0,0.0,-21650,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25500,3850
30-01: 14:14,156.3,1800.0,109950.0,900.0,5.650000000000006,LB,396.15,0.0,28300.0,0,0.0,0,0.0,0.0,0.0,-21650,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25500,3850
30-01: 14:15,154.05,1650.0,109950.0,0.0,-2.25,0,389.85,150.0,28350.0,50,-6.2999999999999545,SB,0.0,50.0,50.0,-21600,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,25500,3900
30-01: 14:17,148.9,1650.0,111300.0,1350.0,-5.150000000000006,SB,389.85,0.0,28350.0,0,0.0,0,-1350.0,0.0,-1350.0,-22950,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0,26850,3900
30-01: 14:21,149.8,2300.0,111400.0,100.0,0.9000000000000057,LB,407.0,100.0,28600.0,250,17.149999999999977,LB,0.0,0.0,0.0,-22950,100.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,26850,3900
30-01: 14:24,148.9,1450.0,111300.0,-100.0,-0.9000000000000057,LC,400.25,50.0,28350.0,-250,-6.75,LC,-0.0,-0.0,-0.0,-22950,0.0,0.0,-100.0,0.0,0.0,0.0,-250.0,0.0,0.0,0.0,26850,3900
30-01: 14:26,142.85,2900.0,110400.0,-900.0,-6.050000000000011,LC,416.1,550.0,28350.0,0,15.850000000000025,0,-0.0,0.0,0.0,-22950,0.0,0.0,-900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26850,3900
30-01: 14:27,143.8,2200.0,110400.0,0.0,0.950000000000017,0,419.85,50.0,28250.0,-100,3.75,SC,0.0,-100.0,-100.0,-23050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,26850,3800
30-01: 14:29,139.15,1700.0,108600.0,-1800.0,-4.650000000000006,LC,419.85,0.0,28250.0,0,0.0,0,-0.0,0.0,0.0,-23050,0.0,0.0,-1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26850,3800
30-01: 14:32,133.4,4800.0,110750.0,2150.0,-5.75,SB,439.05,350.0,27800.0,-450,19.19999999999999,SC,-2150.0,-450.0,-2600.0,-25650,0.0,2150.0,0.0,0.0,0.0,0.0,0.0,-450.0,2150.0,-450.0,29000,3350
30-01: 14:35,125.0,3950.0,110050.0,-700.0,-8.400000000000006,LC,458.35,50.0,27800.0,0,19.30000000000001,0,-0.0,0.0,0.0,-25650,0.0,0.0,-700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000,3350
30-01: 14:36,124.5,4650.0,110050.0,0.0,-0.5,0,473.0,500.0,27750.0,-50,14.649999999999975,SC,0.0,-50.0,-50.0,-25700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,29000,3300
30-01: 14:39,128.05,2400.0,109050.0,-1000.0,3.550000000000012,SC,447.25,50.0,27650.0,-100,-25.75,LC,1000.0,-0.0,1000.0,-24700,0.0,0.0,0.0,-1000.0,0.0,0.0,-100.0,0.0,-1000.0,0.0,28000,3300
30-01: 14:42,123.95,850.0,108300.0,-750.0,-4.1000000000000085,LC,460.5,0.0,27650.0,0,13.25,0,-0.0,0.0,0.0,-24700,0.0,0.0,-750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000,3300
30-01: 14:43,125.15,1100.0,108300.0,0.0,1.2000000000000028,0,453.4,300.0,27600.0,-50,-7.100000000000023,LC,0.0,-0.0,0.0,-24700,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,28000,3300
30-01: 14:44,123.45,4200.0,109850.0,1550.0,-1.7000000000000028,SB,464.4,850.0,27600.0,0,11.0,0,-1550.0,0.0,-1550.0,-26250,0.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,0.0,29550,3300
30-01: 14:45,122.2,2700.0,109850.0,0.0,-1.25,0,467.85,100.0,27550.0,-50,3.450000000000045,SC,0.0,-50.0,-50.0,-26300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,29550,3250
30-01: 14:48,128.1,2850.0,111250.0,1400.0,5.899999999999992,LB,454.0,0.0,27550.0,0,-13.850000000000025,0,0.0,0.0,0.0,-26300,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29550,3250
30-01: 14:50,125.0,1300.0,111250.0,0.0,-3.0999999999999943,0,456.5,300.0,27500.0,-50,2.5,SC,0.0,-50.0,-50.0,-26350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,29550,3200
