Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
02-02: 09:15,282.6,17000,129250,-12050,84.65000000000003,SC,186.2,7150.0,103150.0,-2250,-95.85000000000002,LC,12050.0,-0.0,12050.0,12050,0.0,0.0,0.0,-12050.0,0.0,0.0,-2250.0,0.0,-12050.0,0.0,-12050,0
02-02: 09:17,290.4,11400,136850,7600,7.799999999999954,LB,178.55,6400.0,103950.0,800,-7.649999999999977,SB,0.0,800.0,800.0,12850,7600.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,800.0,-12050,800
02-02: 09:20,328.8,14600,123650,-13200,38.400000000000034,SC,166.55,10550.0,110650.0,6700,-12.0,SB,13200.0,6700.0,19900.0,32750,0.0,0.0,0.0,-13200.0,0.0,6700.0,0.0,0.0,-13200.0,6700.0,-25250,7500
02-02: 09:23,335.0,5200,123000,-650,6.199999999999989,SC,153.6,5550.0,122950.0,12300,-12.950000000000015,SB,650.0,12300.0,12950.0,45700,0.0,0.0,0.0,-650.0,0.0,12300.0,0.0,0.0,-650.0,12300.0,-25900,19800
02-02: 09:26,335.6,2050,120850,-2150,0.6000000000000227,SC,155.35,6600.0,129500.0,6550,1.75,LB,2150.0,0.0,2150.0,47850,0.0,0.0,0.0,-2150.0,6550.0,0.0,0.0,0.0,-2150.0,0.0,-28050,19800
02-02: 09:29,337.0,2050,120200,-650,1.3999999999999773,SC,152.1,7100.0,151200.0,21700,-3.25,SB,650.0,21700.0,22350.0,70200,0.0,0.0,0.0,-650.0,0.0,21700.0,0.0,0.0,-650.0,21700.0,-28700,41500
02-02: 09:32,349.8,2250,118000,-2200,12.800000000000011,SC,149.6,6650.0,164050.0,12850,-2.5,SB,2200.0,12850.0,15050.0,85250,0.0,0.0,0.0,-2200.0,0.0,12850.0,0.0,0.0,-2200.0,12850.0,-30900,54350
02-02: 09:35,351.7,2400,115800,-2200,1.8999999999999773,SC,149.1,8550.0,171650.0,7600,-0.5,SB,2200.0,7600.0,9800.0,95050,0.0,0.0,0.0,-2200.0,0.0,7600.0,0.0,0.0,-2200.0,7600.0,-33100,61950
02-02: 09:38,345.0,1400,115100,-700,-6.699999999999989,LC,150.8,3400.0,178100.0,6450,1.700000000000017,LB,-0.0,0.0,0.0,95050,0.0,0.0,-700.0,0.0,6450.0,0.0,0.0,0.0,0.0,0.0,-33100,61950
02-02: 09:41,345.7,2050,115500,400,0.6999999999999886,LB,149.75,4300.0,181900.0,3800,-1.0500000000000114,SB,0.0,3800.0,3800.0,98850,400.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.0,0.0,3800.0,-33100,65750
02-02: 09:44,352.75,1700,115200,-300,7.050000000000011,SC,148.6,3450.0,185000.0,3100,-1.1500000000000057,SB,300.0,3100.0,3400.0,102250,0.0,0.0,0.0,-300.0,0.0,3100.0,0.0,0.0,-300.0,3100.0,-33400,68850
02-02: 09:47,352.95,4000,115450,250,0.1999999999999886,LB,148.0,4800.0,188350.0,3350,-0.5999999999999943,SB,0.0,3350.0,3350.0,105600,250.0,0.0,0.0,0.0,0.0,3350.0,0.0,0.0,0.0,3350.0,-33400,72200
02-02: 09:50,353.7,900,113700,-1750,0.75,SC,146.05,3050.0,191100.0,2750,-1.9499999999999889,SB,1750.0,2750.0,4500.0,110100,0.0,0.0,0.0,-1750.0,0.0,2750.0,0.0,0.0,-1750.0,2750.0,-35150,74950
02-02: 09:53,361.45,1850,112550,-1150,7.75,SC,144.35,3900.0,190150.0,-950,-1.700000000000017,LC,1150.0,-0.0,1150.0,111250,0.0,0.0,0.0,-1150.0,0.0,0.0,-950.0,0.0,-1150.0,0.0,-36300,74950
02-02: 09:56,357.2,1300,110600,-1950,-4.25,LC,144.85,500.0,189600.0,-550,0.5,SC,-0.0,-550.0,-550.0,110700,0.0,0.0,-1950.0,0.0,0.0,0.0,0.0,-550.0,0.0,-550.0,-36300,74400
02-02: 09:59,351.95,3150,110700,100,-5.25,SB,145.35,6950.0,190200.0,600,0.5,LB,-100.0,0.0,-100.0,110600,0.0,100.0,0.0,0.0,600.0,0.0,0.0,0.0,100.0,0.0,-36200,74400
02-02: 10:02,362.25,1150,108850,-1850,10.300000000000011,SC,140.35,11350.0,181000.0,-9200,-5.0,LC,1850.0,-0.0,1850.0,112450,0.0,0.0,0.0,-1850.0,0.0,0.0,-9200.0,0.0,-1850.0,0.0,-38050,74400
02-02: 10:05,368.0,1400,108600,-250,5.75,SC,138.15,1700.0,176400.0,-4600,-2.1999999999999886,LC,250.0,-0.0,250.0,112700,0.0,0.0,0.0,-250.0,0.0,0.0,-4600.0,0.0,-250.0,0.0,-38300,74400
02-02: 10:08,365.0,2100,107300,-1300,-3.0,LC,140.15,3800.0,177500.0,1100,2.0,LB,-0.0,0.0,0.0,112700,0.0,0.0,-1300.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,-38300,74400
02-02: 10:11,369.75,250,104450,-2850,4.75,SC,139.2,1300.0,176000.0,-1500,-0.950000000000017,LC,2850.0,-0.0,2850.0,115550,0.0,0.0,0.0,-2850.0,0.0,0.0,-1500.0,0.0,-2850.0,0.0,-41150,74400
02-02: 10:14,366.45,300,102400,-2050,-3.300000000000012,LC,140.8,2950.0,178300.0,2300,1.6000000000000227,LB,-0.0,0.0,0.0,115550,0.0,0.0,-2050.0,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,-41150,74400
02-02: 10:17,362.15,100,102250,-150,-4.300000000000011,LC,141.6,400.0,179100.0,800,0.799999999999983,LB,-0.0,0.0,0.0,115550,0.0,0.0,-150.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,-41150,74400
02-02: 10:20,357.6,1600,101400,-850,-4.5499999999999545,LC,145.0,3600.0,178400.0,-700,3.4000000000000057,SC,-0.0,-700.0,-700.0,114850,0.0,0.0,-850.0,0.0,0.0,0.0,0.0,-700.0,0.0,-700.0,-41150,73700
02-02: 10:23,360.0,1000,101600,200,2.3999999999999773,LB,142.0,3200.0,183600.0,5200,-3.0,SB,0.0,5200.0,5200.0,120050,200.0,0.0,0.0,0.0,0.0,5200.0,0.0,0.0,0.0,5200.0,-41150,78900
02-02: 10:26,365.0,400,101400,-200,5.0,SC,140.1,350.0,183400.0,-200,-1.9000000000000057,LC,200.0,-0.0,200.0,120250,0.0,0.0,0.0,-200.0,0.0,0.0,-200.0,0.0,-200.0,0.0,-41350,78900
02-02: 10:29,368.35,200,101250,-150,3.3500000000000227,SC,138.6,600.0,183400.0,0,-1.5,0,150.0,0.0,150.0,120400,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,-150.0,0.0,-41500,78900
02-02: 10:32,363.2,0,101250,0,-5.150000000000034,0,141.75,750.0,183200.0,-200,3.1500000000000057,SC,0.0,-200.0,-200.0,120200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,-200.0,-41500,78700
02-02: 10:33,360.45,300,101200,-50,-2.75,LC,141.05,150.0,183200.0,0,-0.6999999999999886,0,-0.0,0.0,0.0,120200,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41500,78700
02-02: 10:35,359.35,200,101200,0,-1.099999999999966,0,141.5,1450.0,183100.0,-100,0.4499999999999886,SC,0.0,-100.0,-100.0,120100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,-41500,78600
02-02: 10:36,358.1,50,101250,50,-1.25,SB,141.95,50.0,183100.0,0,0.4499999999999886,0,-50.0,0.0,-50.0,120050,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-41450,78600
02-02: 10:38,357.55,150,101250,0,-0.5500000000000114,0,144.05,550.0,183000.0,-100,2.1000000000000227,SC,0.0,-100.0,-100.0,119950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,-41450,78500
02-02: 10:39,352.0,550,101450,200,-5.550000000000011,SB,145.5,650.0,183000.0,0,1.4499999999999886,0,-200.0,0.0,-200.0,119750,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,-41250,78500
02-02: 10:41,350.0,1250,101500,50,-2.0,SB,146.0,1900.0,183550.0,550,0.5,LB,-50.0,0.0,-50.0,119700,0.0,50.0,0.0,0.0,550.0,0.0,0.0,0.0,50.0,0.0,-41200,78500
02-02: 10:44,349.7,50,101250,-250,-0.3000000000000113,LC,145.4,600.0,183750.0,200,-0.5999999999999943,SB,-0.0,200.0,200.0,119900,0.0,0.0,-250.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,-41200,78700
02-02: 10:47,349.0,300,101250,0,-0.6999999999999886,0,144.65,250.0,183700.0,-50,-0.75,LC,0.0,-0.0,0.0,119900,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,-41200,78700
02-02: 10:48,352.25,550,101400,150,3.25,LB,145.6,100.0,183700.0,0,0.9499999999999886,0,0.0,0.0,0.0,119900,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41200,78700
02-02: 10:50,350.85,400,102200,800,-1.3999999999999773,SB,145.5,500.0,184000.0,300,-0.0999999999999943,SB,-800.0,300.0,-500.0,119400,0.0,800.0,0.0,0.0,0.0,300.0,0.0,0.0,800.0,300.0,-40400,79000
