Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
02-02: 09:15,342.55,19050.0,180450.0,1700,98.55,LB,147.0,11250.0,149250.0,400,-86.0,SB,0.0,400.0,400.0,400,1700.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,400.0,0,400
02-02: 09:17,352.95,6550.0,176050.0,-4400,10.399999999999975,SC,140.95,9200.0,155550.0,6300,-6.050000000000011,SB,4400.0,6300.0,10700.0,11100,0.0,0.0,0.0,-4400.0,0.0,6300.0,0.0,0.0,-4400.0,6300.0,-4400,6700
02-02: 09:20,393.6,10100.0,169600.0,-6450,40.650000000000034,SC,132.4,14600.0,155450.0,-100,-8.549999999999983,LC,6450.0,-0.0,6450.0,17550,0.0,0.0,0.0,-6450.0,0.0,0.0,-100.0,0.0,-6450.0,0.0,-10850,6700
02-02: 09:23,402.15,7150.0,171200.0,1600,8.549999999999955,LB,121.0,8250.0,171200.0,15750,-11.400000000000006,SB,0.0,15750.0,15750.0,33300,1600.0,0.0,0.0,0.0,0.0,15750.0,0.0,0.0,0.0,15750.0,-10850,22450
02-02: 09:26,403.65,9050.0,171950.0,750,1.5,LB,123.0,5900.0,173950.0,2750,2.0,LB,0.0,0.0,0.0,33300,750.0,0.0,0.0,0.0,2750.0,0.0,0.0,0.0,0.0,0.0,-10850,22450
02-02: 09:29,404.55,750.0,181750.0,9800,0.9000000000000341,LB,121.55,1500.0,177500.0,3550,-1.4500000000000028,SB,0.0,3550.0,3550.0,36850,9800.0,0.0,0.0,0.0,0.0,3550.0,0.0,0.0,0.0,3550.0,-10850,26000
02-02: 09:32,420.0,2000.0,185300.0,3550,15.449999999999989,LB,119.5,2750.0,180200.0,2700,-2.049999999999997,SB,0.0,2700.0,2700.0,39550,3550.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,2700.0,-10850,28700
02-02: 09:35,421.95,750.0,184650.0,-650,1.9499999999999889,SC,118.4,3950.0,180900.0,700,-1.0999999999999943,SB,650.0,700.0,1350.0,40900,0.0,0.0,0.0,-650.0,0.0,700.0,0.0,0.0,-650.0,700.0,-11500,29400
02-02: 09:38,413.25,650.0,185600.0,950,-8.699999999999989,SB,119.2,1250.0,183000.0,2100,0.7999999999999972,LB,-950.0,0.0,-950.0,39950,0.0,950.0,0.0,0.0,2100.0,0.0,0.0,0.0,950.0,0.0,-10550,29400
02-02: 09:41,414.05,2450.0,188400.0,2800,0.8000000000000114,LB,119.5,3550.0,185900.0,2900,0.2999999999999971,LB,0.0,0.0,0.0,39950,2800.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,-10550,29400
