Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
02-02: 09:15,308.8,3500.0,37200.0,550.0,89.35000000000002,LB,163.2,1250.0,13400.0,-300,-95.0,LC,0.0,-0.0,0.0,0,550.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,0,0
02-02: 09:17,320.0,750.0,35450.0,-1750.0,11.199999999999989,SC,158.7,600.0,15300.0,1900,-4.5,SB,1750.0,1900.0,3650.0,3650,0.0,0.0,0.0,-1750.0,0.0,1900.0,0.0,0.0,-1750.0,1900.0,-1750,1900
02-02: 09:20,360.25,3550.0,32850.0,-2600.0,40.25,SC,149.25,5600.0,16200.0,900,-9.449999999999989,SB,2600.0,900.0,3500.0,7150,0.0,0.0,0.0,-2600.0,0.0,900.0,0.0,0.0,-2600.0,900.0,-4350,2800
02-02: 09:23,366.0,1950.0,32250.0,-600.0,5.75,SC,137.2,900.0,21200.0,5000,-12.050000000000011,SB,600.0,5000.0,5600.0,12750,0.0,0.0,0.0,-600.0,0.0,5000.0,0.0,0.0,-600.0,5000.0,-4950,7800
02-02: 09:26,364.1,2400.0,29150.0,-3100.0,-1.8999999999999773,LC,138.95,2000.0,20900.0,-300,1.75,SC,-0.0,-300.0,-300.0,12450,0.0,0.0,-3100.0,0.0,0.0,0.0,0.0,-300.0,0.0,-300.0,-4950,7500
02-02: 09:29,372.75,500.0,27700.0,-1450.0,8.649999999999977,SC,135.3,0.0,20900.0,0,-3.649999999999977,0,1450.0,0.0,1450.0,13900,0.0,0.0,0.0,-1450.0,0.0,0.0,0.0,0.0,-1450.0,0.0,-6400,7500
02-02: 09:30,368.85,1200.0,27700.0,0.0,-3.899999999999977,0,136.9,600.0,23400.0,2500,1.5999999999999943,LB,0.0,0.0,0.0,13900,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,-6400,7500
02-02: 09:32,382.0,750.0,26950.0,-750.0,13.149999999999975,SC,134.05,900.0,23150.0,-250,-2.8499999999999943,LC,750.0,-0.0,750.0,14650,0.0,0.0,0.0,-750.0,0.0,0.0,-250.0,0.0,-750.0,0.0,-7150,7500
02-02: 09:35,387.65,350.0,25700.0,-1250.0,5.649999999999977,SC,133.05,1750.0,23150.0,0,-1.0,0,1250.0,0.0,1250.0,15900,0.0,0.0,0.0,-1250.0,0.0,0.0,0.0,0.0,-1250.0,0.0,-8400,7500
02-02: 09:38,376.6,900.0,25250.0,-450.0,-11.049999999999956,LC,134.15,200.0,23150.0,0,1.0999999999999943,0,-0.0,0.0,0.0,15900,0.0,0.0,-450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8400,7500
02-02: 09:41,380.4,850.0,24850.0,-400.0,3.7999999999999545,SC,133.85,1350.0,23450.0,300,-0.3000000000000113,SB,400.0,300.0,700.0,16600,0.0,0.0,0.0,-400.0,0.0,300.0,0.0,0.0,-400.0,300.0,-8800,7800
02-02: 09:44,383.9,200.0,24850.0,0.0,3.5,0,132.0,1250.0,24150.0,700,-1.8499999999999943,SB,0.0,700.0,700.0,17300,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,700.0,-8800,8500
02-02: 09:45,384.85,150.0,24600.0,-250.0,0.9500000000000456,SC,133.5,850.0,24150.0,0,1.5,0,250.0,0.0,250.0,17550,0.0,0.0,0.0,-250.0,0.0,0.0,0.0,0.0,-250.0,0.0,-9050,8500
