Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
05-01: 09:15,69.0,7850,114700,-100,1.5,SC,443.1,0.0,2850.0,0.0,0.0,0,100.0,0.0,100.0,100,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,-100.0,0.0,-100,0
05-01: 09:17,67.4,4750,124150,9450,-1.5999999999999943,SB,443.1,0.0,2850.0,0.0,0.0,0,-9450.0,0.0,-9450.0,-9350,0.0,9450.0,0.0,0.0,0.0,0.0,0.0,0.0,9450.0,0.0,9350,0
05-01: 09:20,63.05,900,125750,1600,-4.3500000000000085,SB,384.55,50.0,2850.0,0.0,-58.55000000000001,0,-1600.0,0.0,-1600.0,-10950,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,10950,0
05-01: 09:23,62.35,350,126750,1000,-0.6999999999999957,SB,384.55,0.0,2850.0,0.0,0.0,0,-1000.0,0.0,-1000.0,-11950,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,11950,0
05-01: 09:24,60.0,10700,126750,0,-2.3500000000000014,0,396.0,100.0,2950.0,100.0,11.449999999999989,LB,0.0,0.0,0.0,-11950,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,11950,0
05-01: 09:26,58.2,7950,144800,18050,-1.7999999999999972,SB,396.0,0.0,2950.0,0.0,0.0,0,-18050.0,0.0,-18050.0,-30000,0.0,18050.0,0.0,0.0,0.0,0.0,0.0,0.0,18050.0,0.0,30000,0
05-01: 09:27,59.7,2350,144800,0,1.5,0,395.05,300.0,3050.0,100.0,-0.9499999999999886,SB,0.0,100.0,100.0,-29900,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,30000,100
05-01: 09:29,58.2,3650,147700,2900,-1.5,SB,395.8,100.0,3750.0,700.0,0.75,LB,-2900.0,0.0,-2900.0,-32800,0.0,2900.0,0.0,0.0,700.0,0.0,0.0,0.0,2900.0,0.0,32900,100
05-01: 09:32,60.65,750,149450,1750,2.449999999999996,LB,390.1,0.0,3750.0,0.0,-5.699999999999989,0,0.0,0.0,0.0,-32800,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32900,100
05-01: 09:35,61.2,1050,150700,1250,0.5500000000000043,LB,390.1,0.0,3750.0,0.0,0.0,0,0.0,0.0,0.0,-32800,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32900,100
05-01: 09:38,59.9,3000,151700,1000,-1.3000000000000045,SB,390.1,0.0,3750.0,0.0,0.0,0,-1000.0,0.0,-1000.0,-33800,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,33900,100
05-01: 09:41,58.6,2300,148400,-3300,-1.2999999999999972,LC,390.1,0.0,3750.0,0.0,0.0,0,-0.0,0.0,0.0,-33800,0.0,0.0,-3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33900,100
05-01: 09:44,59.55,1650,146000,-2400,0.9499999999999956,SC,386.1,100.0,3900.0,150.0,-4.0,SB,2400.0,150.0,2550.0,-31250,0.0,0.0,0.0,-2400.0,0.0,150.0,0.0,0.0,-2400.0,150.0,31500,250
05-01: 09:47,59.95,1800,152300,6300,0.4000000000000057,LB,386.1,0.0,3900.0,0.0,0.0,0,0.0,0.0,0.0,-31250,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500,250
05-01: 09:50,59.8,2150,155350,3050,-0.1500000000000056,SB,386.1,0.0,3900.0,0.0,0.0,0,-3050.0,0.0,-3050.0,-34300,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,0.0,34550,250
05-01: 09:51,60.0,4550,155350,0,0.2000000000000028,0,383.0,100.0,4000.0,100.0,-3.1000000000000227,SB,0.0,100.0,100.0,-34200,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,34550,350
05-01: 09:53,61.05,1100,156200,850,1.0499999999999972,LB,379.1,550.0,4250.0,250.0,-3.899999999999977,SB,0.0,250.0,250.0,-33950,850.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,250.0,34550,600
05-01: 09:56,61.7,1750,157200,1000,0.6500000000000057,LB,378.95,0.0,4250.0,0.0,-0.1500000000000341,0,0.0,0.0,0.0,-33950,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34550,600
05-01: 09:59,60.8,2550,157900,700,-0.9000000000000057,SB,378.95,0.0,4250.0,0.0,0.0,0,-700.0,0.0,-700.0,-34650,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,35250,600
05-01: 10:00,60.65,400,157900,0,-0.1499999999999985,0,381.0,150.0,4600.0,350.0,2.050000000000012,LB,0.0,0.0,0.0,-34650,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,35250,600
05-01: 10:02,60.7,2550,163600,5700,0.0500000000000042,LB,381.0,0.0,4600.0,0.0,0.0,0,0.0,0.0,0.0,-34650,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35250,600
05-01: 10:05,60.55,1450,164900,1300,-0.1500000000000056,SB,383.35,100.0,4750.0,150.0,2.3500000000000227,LB,-1300.0,0.0,-1300.0,-35950,0.0,1300.0,0.0,0.0,150.0,0.0,0.0,0.0,1300.0,0.0,36550,600
05-01: 10:08,60.75,200,164650,-250,0.2000000000000028,SC,382.0,0.0,4750.0,0.0,-1.3500000000000227,0,250.0,0.0,250.0,-35700,0.0,0.0,0.0,-250.0,0.0,0.0,0.0,0.0,-250.0,0.0,36300,600
