Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
29-01: 09:15,114.85,11350.0,102800.0,4100.0,29.849999999999994,LB,448.0,50.0,9900.0,600,-62.19999999999999,SB,0.0,600.0,600.0,600,4100.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,600.0,0,600
29-01: 09:17,113.15,8150.0,103850.0,1050.0,-1.6999999999999886,SB,450.45,0.0,9900.0,0,2.4499999999999886,0,-1050.0,0.0,-1050.0,-450,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,1050,600
29-01: 09:19,117.45,2200.0,103850.0,0.0,4.299999999999997,0,445.65,200.0,10050.0,150,-4.800000000000011,SB,0.0,150.0,150.0,-300,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,1050,750
29-01: 09:20,127.65,8650.0,106500.0,2650.0,10.200000000000005,LB,445.65,0.0,10050.0,0,0.0,0,0.0,0.0,0.0,-300,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,750
29-01: 09:21,128.8,4900.0,106500.0,0.0,1.1500000000000057,0,413.75,200.0,10200.0,150,-31.899999999999977,SB,0.0,150.0,150.0,-150,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,1050,900
29-01: 09:23,135.0,5000.0,108800.0,2300.0,6.199999999999989,LB,410.0,50.0,10300.0,100,-3.75,SB,0.0,100.0,100.0,-50,2300.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1050,1000
29-01: 09:26,151.6,4800.0,110200.0,1400.0,16.599999999999994,LB,396.9,50.0,13700.0,3400,-13.100000000000025,SB,0.0,3400.0,3400.0,3350,1400.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,3400.0,1050,4400
29-01: 09:29,150.85,4000.0,111650.0,1450.0,-0.75,SB,400.75,650.0,14000.0,300,3.850000000000023,LB,-1450.0,0.0,-1450.0,1900,0.0,1450.0,0.0,0.0,300.0,0.0,0.0,0.0,1450.0,0.0,2500,4400
29-01: 09:32,139.3,3100.0,108300.0,-3350.0,-11.549999999999985,LC,413.0,1850.0,13400.0,-600,12.25,SC,-0.0,-600.0,-600.0,1300,0.0,0.0,-3350.0,0.0,0.0,0.0,0.0,-600.0,0.0,-600.0,2500,3800
29-01: 09:35,148.05,2050.0,111250.0,2950.0,8.75,LB,402.95,1650.0,13850.0,450,-10.050000000000011,SB,0.0,450.0,450.0,1750,2950.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,450.0,2500,4250
