Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
02-02: 09:15,253.2,3600,14000,350,78.6,LB,208.9,3850.0,8200.0,100.0,-103.99999999999996,SB,0.0,100.0,100.0,100,350.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0,100
02-02: 09:17,260.0,7950,15850,1850,6.800000000000011,LB,200.0,2450.0,13000.0,4800.0,-8.900000000000006,SB,0.0,4800.0,4800.0,4900,1850.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,4800.0,0,4900
02-02: 09:20,298.9,3750,23000,7150,38.89999999999998,LB,186.4,13600.0,21050.0,8050.0,-13.599999999999994,SB,0.0,8050.0,8050.0,12950,7150.0,0.0,0.0,0.0,0.0,8050.0,0.0,0.0,0.0,8050.0,0,12950
02-02: 09:23,302.45,2350,24200,1200,3.550000000000012,LB,172.7,1850.0,26350.0,5300.0,-13.700000000000015,SB,0.0,5300.0,5300.0,18250,1200.0,0.0,0.0,0.0,0.0,5300.0,0.0,0.0,0.0,5300.0,0,18250
02-02: 09:26,303.9,900,23450,-750,1.4499999999999886,SC,174.95,2150.0,27600.0,1250.0,2.25,LB,750.0,0.0,750.0,19000,0.0,0.0,0.0,-750.0,1250.0,0.0,0.0,0.0,-750.0,0.0,-750,18250
02-02: 09:29,304.05,550,23200,-250,0.1500000000000341,SC,169.4,250.0,31500.0,3900.0,-5.549999999999983,SB,250.0,3900.0,4150.0,23150,0.0,0.0,0.0,-250.0,0.0,3900.0,0.0,0.0,-250.0,3900.0,-1000,22150
02-02: 09:32,317.0,450,23600,400,12.949999999999989,LB,168.4,1600.0,34600.0,3100.0,-1.0,SB,0.0,3100.0,3100.0,26250,400.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,3100.0,-1000,25250
02-02: 09:35,320.9,400,23750,150,3.899999999999977,LB,167.3,1750.0,35300.0,700.0,-1.0999999999999943,SB,0.0,700.0,700.0,26950,150.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,700.0,-1000,25950
02-02: 09:38,314.15,50,23750,0,-6.75,0,170.55,600.0,36350.0,1050.0,3.25,LB,0.0,0.0,0.0,26950,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,-1000,25950
02-02: 09:39,310.3,200,23450,-300,-3.849999999999966,LC,169.05,550.0,36350.0,0.0,-1.5,0,-0.0,0.0,0.0,26950,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000,25950
02-02: 09:41,314.95,400,23450,0,4.649999999999977,0,169.05,600.0,36850.0,500.0,0.0,0,0.0,0.0,0.0,26950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000,25950
02-02: 09:44,321.0,150,23700,250,6.050000000000011,LB,166.5,500.0,32100.0,-4750.0,-2.550000000000012,LC,0.0,-0.0,0.0,26950,250.0,0.0,0.0,0.0,0.0,0.0,-4750.0,0.0,0.0,0.0,-1000,25950
02-02: 09:47,320.7,50,23750,50,-0.3000000000000113,SB,167.5,550.0,32300.0,200.0,1.0,LB,-50.0,0.0,-50.0,26900,0.0,50.0,0.0,0.0,200.0,0.0,0.0,0.0,50.0,0.0,-950,25950
02-02: 09:50,321.35,300,24400,650,0.6500000000000341,LB,164.85,550.0,32500.0,200.0,-2.6500000000000057,SB,0.0,200.0,200.0,27100,650.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,-950,26150
02-02: 09:53,327.65,700,25400,1000,6.2999999999999545,LB,161.45,200.0,34350.0,1850.0,-3.4000000000000057,SB,0.0,1850.0,1850.0,28950,1000.0,0.0,0.0,0.0,0.0,1850.0,0.0,0.0,0.0,1850.0,-950,28000
02-02: 09:56,322.0,500,25200,-200,-5.649999999999977,LC,164.7,150.0,34500.0,150.0,3.25,LB,-0.0,0.0,0.0,28950,0.0,0.0,-200.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,-950,28000
02-02: 09:59,320.05,550,25150,-50,-1.9499999999999889,LC,163.95,350.0,35200.0,700.0,-0.75,SB,-0.0,700.0,700.0,29650,0.0,0.0,-50.0,0.0,0.0,700.0,0.0,0.0,0.0,700.0,-950,28700
02-02: 10:02,329.75,200,25150,0,9.699999999999989,0,158.2,400.0,35650.0,450.0,-5.75,SB,0.0,450.0,450.0,30100,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,450.0,-950,29150
02-02: 10:03,327.9,650,24850,-300,-1.8500000000000227,LC,158.2,100.0,35650.0,0.0,0.0,0,-0.0,0.0,0.0,30100,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-950,29150
