Date,Time,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
2024-02-09,09:15,147.95,504500,2749750,-9850,-26.55000000000001,LC,206.65,572900,2493350,-12200,21.700000000000017,SC,-0.0,-12200.0,-12200.0,-12200,0.0,0.0,-9850.0,0.0,0.0,0.0,0.0,-12200.0,0.0,-12200.0,0,-12200
2024-02-09,09:16,142.55,410500,2903900,154150,-5.399999999999977,SB,207.5,311300,2617400,124050,0.8499999999999943,LB,-154150.0,0.0,-154150.0,-166350,0.0,154150.0,0.0,0.0,124050.0,0.0,0.0,0.0,154150.0,0.0,154150,-12200
2024-02-09,09:19,141.5,373150,3093750,189850,-1.0500000000000114,SB,213.3,266450,2621300,3900,5.800000000000011,LB,-189850.0,0.0,-189850.0,-356200,0.0,189850.0,0.0,0.0,3900.0,0.0,0.0,0.0,189850.0,0.0,344000,-12200
2024-02-09,09:22,160.4,519150,3354900,261150,18.90000000000001,LB,187.15,316650,2810550,189250,-26.15000000000001,SB,0.0,189250.0,189250.0,-166950,261150.0,0.0,0.0,0.0,0.0,189250.0,0.0,0.0,0.0,189250.0,344000,177050
2024-02-09,09:25,162.75,577700,3436250,81350,2.3499999999999943,LB,190.6,428850,2953350,142800,3.4499999999999886,LB,0.0,0.0,0.0,-166950,81350.0,0.0,0.0,0.0,142800.0,0.0,0.0,0.0,0.0,0.0,344000,177050
2024-02-09,09:28,174.75,960200,3631100,194850,12.0,LB,175.3,430750,3045550,92200,-15.299999999999985,SB,0.0,92200.0,92200.0,-74750,194850.0,0.0,0.0,0.0,0.0,92200.0,0.0,0.0,0.0,92200.0,344000,269250
2024-02-09,09:31,164.25,542300,3858150,227050,-10.5,SB,181.95,284500,3119300,73750,6.649999999999977,LB,-227050.0,0.0,-227050.0,-301800,0.0,227050.0,0.0,0.0,73750.0,0.0,0.0,0.0,227050.0,0.0,571050,269250
2024-02-09,09:34,163.5,263250,4069000,210850,-0.75,SB,182.1,166900,3208900,89600,0.1500000000000056,LB,-210850.0,0.0,-210850.0,-512650,0.0,210850.0,0.0,0.0,89600.0,0.0,0.0,0.0,210850.0,0.0,781900,269250
2024-02-09,09:37,158.55,497600,4267050,198050,-4.949999999999989,SB,188.35,316300,3463900,255000,6.25,LB,-198050.0,0.0,-198050.0,-710700,0.0,198050.0,0.0,0.0,255000.0,0.0,0.0,0.0,198050.0,0.0,979950,269250
2024-02-09,09:40,153.75,735650,4341250,74200,-4.800000000000011,SB,196.95,615400,3599650,135750,8.599999999999994,LB,-74200.0,0.0,-74200.0,-784900,0.0,74200.0,0.0,0.0,135750.0,0.0,0.0,0.0,74200.0,0.0,1054150,269250
2024-02-09,09:43,159.3,299650,4523850,182600,5.550000000000011,LB,190.5,190750,3756650,157000,-6.449999999999989,SB,0.0,157000.0,157000.0,-627900,182600.0,0.0,0.0,0.0,0.0,157000.0,0.0,0.0,0.0,157000.0,1054150,426250
2024-02-09,09:46,156.45,237600,4575500,51650,-2.8500000000000227,SB,190.0,219250,3857950,101300,-0.5,SB,-51650.0,101300.0,49650.0,-578250,0.0,51650.0,0.0,0.0,0.0,101300.0,0.0,0.0,51650.0,101300.0,1105800,527550
2024-02-09,09:49,148.65,197500,4563550,-11950,-7.799999999999983,LC,201.85,248600,3886250,28300,11.849999999999994,LB,-0.0,0.0,0.0,-578250,0.0,0.0,-11950.0,0.0,28300.0,0.0,0.0,0.0,0.0,0.0,1105800,527550
2024-02-09,09:52,143.6,329750,4628800,65250,-5.050000000000011,SB,210.4,345250,3853500,-32750,8.550000000000011,SC,-65250.0,-32750.0,-98000.0,-676250,0.0,65250.0,0.0,0.0,0.0,0.0,0.0,-32750.0,65250.0,-32750.0,1171050,494800
2024-02-09,09:55,137.1,369800,4705150,76350,-6.5,SB,223.15,319750,3692050,-161450,12.75,SC,-76350.0,-161450.0,-237800.0,-914050,0.0,76350.0,0.0,0.0,0.0,0.0,0.0,-161450.0,76350.0,-161450.0,1247400,333350
2024-02-09,09:58,135.35,210500,4748500,43350,-1.75,SB,226.05,214050,3737750,45700,2.9000000000000057,LB,-43350.0,0.0,-43350.0,-957400,0.0,43350.0,0.0,0.0,45700.0,0.0,0.0,0.0,43350.0,0.0,1290750,333350
2024-02-09,10:01,130.7,590850,4727850,-20650,-4.650000000000006,LC,239.95,705600,3647800,-89950,13.899999999999975,SC,-0.0,-89950.0,-89950.0,-1047350,0.0,0.0,-20650.0,0.0,0.0,0.0,0.0,-89950.0,0.0,-89950.0,1290750,243400
2024-02-09,10:04,143.0,401100,4665650,-62200,12.300000000000011,SC,210.85,349800,3574950,-72850,-29.099999999999994,LC,62200.0,-0.0,62200.0,-985150,0.0,0.0,0.0,-62200.0,0.0,0.0,-72850.0,0.0,-62200.0,0.0,1228550,243400
2024-02-09,10:07,146.2,331200,4655350,-10300,3.1999999999999886,SC,204.35,234300,3469400,-105550,-6.5,LC,10300.0,-0.0,10300.0,-974850,0.0,0.0,0.0,-10300.0,0.0,0.0,-105550.0,0.0,-10300.0,0.0,1218250,243400
2024-02-09,10:10,150.3,478350,4659100,3750,4.100000000000023,LB,193.75,269250,3493050,23650,-10.599999999999994,SB,0.0,23650.0,23650.0,-951200,3750.0,0.0,0.0,0.0,0.0,23650.0,0.0,0.0,0.0,23650.0,1218250,267050
2024-02-09,10:13,154.1,192100,4671000,11900,3.799999999999983,LB,191.75,129100,3575550,82500,-2.0,SB,0.0,82500.0,82500.0,-868700,11900.0,0.0,0.0,0.0,0.0,82500.0,0.0,0.0,0.0,82500.0,1218250,349550
2024-02-09,10:16,149.5,308950,4656300,-14700,-4.599999999999994,LC,197.55,272050,3628950,53400,5.800000000000011,LB,-0.0,0.0,0.0,-868700,0.0,0.0,-14700.0,0.0,53400.0,0.0,0.0,0.0,0.0,0.0,1218250,349550
2024-02-09,10:19,157.4,239300,4700500,44200,7.900000000000006,LB,187.6,153050,3706750,77800,-9.950000000000015,SB,0.0,77800.0,77800.0,-790900,44200.0,0.0,0.0,0.0,0.0,77800.0,0.0,0.0,0.0,77800.0,1218250,427350
