Date,Time,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
2024-02-09,09:15,172.95,344400,713800,3100,-26.05000000000001,SB,182.25,465100,698100,-9500,20.25,SC,-3100.0,-9500.0,-12600.0,-12600,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,-9500.0,3100.0,-9500.0,3100,-9500
2024-02-09,09:16,167.05,286600,873250,159450,-5.899999999999977,SB,182.05,328950,886850,188750,-0.1999999999999886,SB,-159450.0,188750.0,29300.0,16700,0.0,159450.0,0.0,0.0,0.0,188750.0,0.0,0.0,159450.0,188750.0,162550,179250
2024-02-09,09:19,165.9,157700,1029850,156600,-1.1500000000000057,SB,187.25,149300,1006600,119750,5.199999999999989,LB,-156600.0,0.0,-156600.0,-139900,0.0,156600.0,0.0,0.0,119750.0,0.0,0.0,0.0,156600.0,0.0,319150,179250
2024-02-09,09:22,187.9,387900,1106200,76350,22.0,LB,163.8,275550,1100000,93400,-23.44999999999999,SB,0.0,93400.0,93400.0,-46500,76350.0,0.0,0.0,0.0,0.0,93400.0,0.0,0.0,0.0,93400.0,319150,272650
2024-02-09,09:25,188.85,370950,1274850,168650,0.9499999999999886,LB,166.15,305250,1182850,82850,2.3499999999999943,LB,0.0,0.0,0.0,-46500,168650.0,0.0,0.0,0.0,82850.0,0.0,0.0,0.0,0.0,0.0,319150,272650
2024-02-09,09:28,202.05,656050,1397400,122550,13.200000000000015,LB,152.4,337450,1298950,116100,-13.75,SB,0.0,116100.0,116100.0,69600,122550.0,0.0,0.0,0.0,0.0,116100.0,0.0,0.0,0.0,116100.0,319150,388750
2024-02-09,09:31,190.6,296600,1474400,77000,-11.450000000000015,SB,158.2,279650,1382550,83600,5.799999999999983,LB,-77000.0,0.0,-77000.0,-7400,0.0,77000.0,0.0,0.0,83600.0,0.0,0.0,0.0,77000.0,0.0,396150,388750
2024-02-09,09:34,189.9,167100,1519800,45400,-0.6999999999999886,SB,158.6,158050,1413350,30800,0.4000000000000057,LB,-45400.0,0.0,-45400.0,-52800,0.0,45400.0,0.0,0.0,30800.0,0.0,0.0,0.0,45400.0,0.0,441550,388750
2024-02-09,09:37,184.65,258400,1569650,49850,-5.25,SB,164.35,255400,1461800,48450,5.75,LB,-49850.0,0.0,-49850.0,-102650,0.0,49850.0,0.0,0.0,48450.0,0.0,0.0,0.0,49850.0,0.0,491400,388750
2024-02-09,09:40,179.45,417900,1552300,-17350,-5.200000000000017,LC,172.6,695750,1606400,144600,8.25,LB,-0.0,0.0,0.0,-102650,0.0,0.0,-17350.0,0.0,144600.0,0.0,0.0,0.0,0.0,0.0,491400,388750
2024-02-09,09:43,185.75,208350,1653300,101000,6.300000000000011,LB,167.0,287200,1755850,149450,-5.599999999999994,SB,0.0,149450.0,149450.0,46800,101000.0,0.0,0.0,0.0,0.0,149450.0,0.0,0.0,0.0,149450.0,491400,538200
2024-02-09,09:46,182.85,185700,1756850,103550,-2.9000000000000057,SB,166.3,187750,1815950,60100,-0.6999999999999886,SB,-103550.0,60100.0,-43450.0,3350,0.0,103550.0,0.0,0.0,0.0,60100.0,0.0,0.0,103550.0,60100.0,594950,598300
2024-02-09,09:49,173.75,155600,1811050,54200,-9.099999999999994,SB,177.05,262000,1860850,44900,10.75,LB,-54200.0,0.0,-54200.0,-50850,0.0,54200.0,0.0,0.0,44900.0,0.0,0.0,0.0,54200.0,0.0,649150,598300
2024-02-09,09:52,167.8,220400,1867950,56900,-5.949999999999989,SB,185.0,332900,1913100,52250,7.949999999999989,LB,-56900.0,0.0,-56900.0,-107750,0.0,56900.0,0.0,0.0,52250.0,0.0,0.0,0.0,56900.0,0.0,706050,598300
2024-02-09,09:55,160.25,279700,1960850,92900,-7.550000000000011,SB,196.9,268700,1849600,-63500,11.900000000000006,SC,-92900.0,-63500.0,-156400.0,-264150,0.0,92900.0,0.0,0.0,0.0,0.0,0.0,-63500.0,92900.0,-63500.0,798950,534800
2024-02-09,09:58,158.3,131200,2011000,50150,-1.9499999999999889,SB,199.4,133950,1873250,23650,2.5,LB,-50150.0,0.0,-50150.0,-314300,0.0,50150.0,0.0,0.0,23650.0,0.0,0.0,0.0,50150.0,0.0,849100,534800
2024-02-09,10:01,153.45,386750,1973300,-37700,-4.850000000000023,LC,212.25,561500,1734650,-138600,12.849999999999994,SC,-0.0,-138600.0,-138600.0,-452900,0.0,0.0,-37700.0,0.0,0.0,0.0,0.0,-138600.0,0.0,-138600.0,849100,396200
2024-02-09,10:04,167.85,263350,1963600,-9700,14.400000000000006,SC,185.6,235850,1674850,-59800,-26.65000000000001,LC,9700.0,-0.0,9700.0,-443200,0.0,0.0,0.0,-9700.0,0.0,0.0,-59800.0,0.0,-9700.0,0.0,839400,396200
2024-02-09,10:07,171.1,269200,2032450,68850,3.25,LB,179.3,157200,1703300,28450,-6.299999999999983,SB,0.0,28450.0,28450.0,-414750,68850.0,0.0,0.0,0.0,0.0,28450.0,0.0,0.0,0.0,28450.0,839400,424650
2024-02-09,10:10,177.75,365350,2006050,-26400,6.650000000000006,SC,169.15,312350,1723100,19800,-10.150000000000006,SB,26400.0,19800.0,46200.0,-368550,0.0,0.0,0.0,-26400.0,0.0,19800.0,0.0,0.0,-26400.0,19800.0,813000,444450
2024-02-09,10:13,180.0,117600,2011150,5100,2.25,LB,167.55,119400,1709500,-13600,-1.5999999999999943,LC,0.0,-0.0,0.0,-368550,5100.0,0.0,0.0,0.0,0.0,0.0,-13600.0,0.0,0.0,0.0,813000,444450
2024-02-09,10:16,175.05,238900,1973200,-37950,-4.949999999999989,LC,173.35,278500,1771200,61700,5.799999999999983,LB,-0.0,0.0,0.0,-368550,0.0,0.0,-37950.0,0.0,61700.0,0.0,0.0,0.0,0.0,0.0,813000,444450
2024-02-09,10:19,184.15,158850,2013150,39950,9.099999999999994,LB,164.3,138400,1836450,65250,-9.049999999999985,SB,0.0,65250.0,65250.0,-303300,39950.0,0.0,0.0,0.0,0.0,65250.0,0.0,0.0,0.0,65250.0,813000,509700
2024-02-09,10:22,179.8,104350,2034650,21500,-4.349999999999994,SB,167.25,88100,1911100,74650,2.9499999999999886,LB,-21500.0,0.0,-21500.0,-324800,0.0,21500.0,0.0,0.0,74650.0,0.0,0.0,0.0,21500.0,0.0,834500,509700
2024-02-09,10:25,172.3,221150,2079650,45000,-7.5,SB,176.45,333900,1966050,54950,9.199999999999989,LB,-45000.0,0.0,-45000.0,-369800,0.0,45000.0,0.0,0.0,54950.0,0.0,0.0,0.0,45000.0,0.0,879500,509700
2024-02-09,10:28,171.55,110650,2103250,23600,-0.75,SB,175.95,117450,1977600,11550,-0.5,SB,-23600.0,11550.0,-12050.0,-381850,0.0,23600.0,0.0,0.0,0.0,11550.0,0.0,0.0,23600.0,11550.0,903100,521250
2024-02-09,10:31,165.5,122950,2165650,62400,-6.050000000000011,SB,184.2,201950,2071750,94150,8.25,LB,-62400.0,0.0,-62400.0,-444250,0.0,62400.0,0.0,0.0,94150.0,0.0,0.0,0.0,62400.0,0.0,965500,521250
2024-02-09,10:34,171.9,234750,2160150,-5500,6.400000000000006,SC,174.3,281500,2087200,15450,-9.899999999999975,SB,5500.0,15450.0,20950.0,-423300,0.0,0.0,0.0,-5500.0,0.0,15450.0,0.0,0.0,-5500.0,15450.0,960000,536700
