Date,Time,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
2024-02-09,09:15,230.7,49450,144650,-250,-31.30000000000001,LC,138.95,313950,542900,-1450,16.94999999999999,SC,-0.0,-1450.0,-1450.0,-1450,0.0,0.0,-250.0,0.0,0.0,0.0,0.0,-1450.0,0.0,-1450.0,0,-1450
2024-02-09,09:16,223.8,42150,166700,22050,-6.899999999999977,SB,138.5,172500,646700,103800,-0.4499999999999886,SB,-22050.0,103800.0,81750.0,80300,0.0,22050.0,0.0,0.0,0.0,103800.0,0.0,0.0,22050.0,103800.0,22050,102350
2024-02-09,09:19,220.4,164600,288350,121650,-3.4000000000000057,SB,143.1,304000,858750,212050,4.599999999999994,LB,-121650.0,0.0,-121650.0,-41350,0.0,121650.0,0.0,0.0,212050.0,0.0,0.0,0.0,121650.0,0.0,143700,102350
2024-02-09,09:22,246.75,146500,358300,69950,26.349999999999994,LB,123.15,238000,990200,131450,-19.94999999999999,SB,0.0,131450.0,131450.0,90100,69950.0,0.0,0.0,0.0,0.0,131450.0,0.0,0.0,0.0,131450.0,143700,233800
2024-02-09,09:25,246.0,61050,328450,-29850,-0.75,LC,125.0,160700,1026300,36100,1.8499999999999943,LB,-0.0,0.0,0.0,90100,0.0,0.0,-29850.0,0.0,36100.0,0.0,0.0,0.0,0.0,0.0,143700,233800
2024-02-09,09:28,262.55,132250,346950,18500,16.55000000000001,LB,113.6,264050,1045200,18900,-11.400000000000006,SB,0.0,18900.0,18900.0,109000,18500.0,0.0,0.0,0.0,0.0,18900.0,0.0,0.0,0.0,18900.0,143700,252700
2024-02-09,09:31,250.35,46900,356300,9350,-12.200000000000015,SB,117.8,138950,1088850,43650,4.200000000000003,LB,-9350.0,0.0,-9350.0,99650,0.0,9350.0,0.0,0.0,43650.0,0.0,0.0,0.0,9350.0,0.0,153050,252700
2024-02-09,09:34,249.75,35550,361600,5300,-0.5999999999999943,SB,117.85,73050,1128000,39150,0.0499999999999971,LB,-5300.0,0.0,-5300.0,94350,0.0,5300.0,0.0,0.0,39150.0,0.0,0.0,0.0,5300.0,0.0,158350,252700
2024-02-09,09:37,243.75,51250,352600,-9000,-6.0,LC,122.95,146100,1149000,21000,5.1000000000000085,LB,-0.0,0.0,0.0,94350,0.0,0.0,-9000.0,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,158350,252700
2024-02-09,09:40,237.4,95350,361200,8600,-6.349999999999994,SB,130.75,311100,1165950,16950,7.799999999999997,LB,-8600.0,0.0,-8600.0,85750,0.0,8600.0,0.0,0.0,16950.0,0.0,0.0,0.0,8600.0,0.0,166950,252700
2024-02-09,09:43,245.0,34400,365350,4150,7.599999999999994,LB,126.45,151200,1198900,32950,-4.299999999999997,SB,0.0,32950.0,32950.0,118700,4150.0,0.0,0.0,0.0,0.0,32950.0,0.0,0.0,0.0,32950.0,166950,285650
2024-02-09,09:46,241.95,24900,376500,11150,-3.050000000000012,SB,125.2,84050,1216700,17800,-1.25,SB,-11150.0,17800.0,6650.0,125350,0.0,11150.0,0.0,0.0,0.0,17800.0,0.0,0.0,11150.0,17800.0,178100,303450
2024-02-09,09:49,230.65,20950,376850,350,-11.299999999999985,SB,134.45,164700,1237250,20550,9.249999999999986,LB,-350.0,0.0,-350.0,125000,0.0,350.0,0.0,0.0,20550.0,0.0,0.0,0.0,350.0,0.0,178450,303450
2024-02-09,09:52,223.75,72600,404950,28100,-6.900000000000006,SB,141.3,290650,1237550,300,6.850000000000023,LB,-28100.0,0.0,-28100.0,96900,0.0,28100.0,0.0,0.0,300.0,0.0,0.0,0.0,28100.0,0.0,206550,303450
2024-02-09,09:55,214.05,125000,479400,74450,-9.699999999999989,SB,151.3,357600,1209850,-27700,10.0,SC,-74450.0,-27700.0,-102150.0,-5250,0.0,74450.0,0.0,0.0,0.0,0.0,0.0,-27700.0,74450.0,-27700.0,281000,275750
2024-02-09,09:58,212.4,65450,529450,50050,-1.6500000000000057,SB,153.55,179850,1254550,44700,2.25,LB,-50050.0,0.0,-50050.0,-55300,0.0,50050.0,0.0,0.0,44700.0,0.0,0.0,0.0,50050.0,0.0,331050,275750
2024-02-09,10:01,206.5,202100,601750,72300,-5.900000000000006,SB,165.6,924250,1440100,185550,12.049999999999985,LB,-72300.0,0.0,-72300.0,-127600,0.0,72300.0,0.0,0.0,185550.0,0.0,0.0,0.0,72300.0,0.0,403350,275750
2024-02-09,10:04,223.6,191950,592900,-8850,17.099999999999994,SC,141.95,291200,1470300,30200,-23.65000000000001,SB,8850.0,30200.0,39050.0,-88550,0.0,0.0,0.0,-8850.0,0.0,30200.0,0.0,0.0,-8850.0,30200.0,394500,305950
2024-02-09,10:07,227.55,66150,545950,-46950,3.950000000000017,SC,135.95,129250,1335700,-134600,-6.0,LC,46950.0,-0.0,46950.0,-41600,0.0,0.0,0.0,-46950.0,0.0,0.0,-134600.0,0.0,-46950.0,0.0,347550,305950
2024-02-09,10:10,233.5,80850,500000,-45950,5.949999999999989,SC,127.8,155600,1332500,-3200,-8.149999999999991,LC,45950.0,-0.0,45950.0,4350,0.0,0.0,0.0,-45950.0,0.0,0.0,-3200.0,0.0,-45950.0,0.0,301600,305950
2024-02-09,10:13,238.4,30750,496850,-3150,4.900000000000006,SC,126.9,82600,1360000,27500,-0.8999999999999915,SB,3150.0,27500.0,30650.0,35000,0.0,0.0,0.0,-3150.0,0.0,27500.0,0.0,0.0,-3150.0,27500.0,298450,333450
