Datetime,close,volume,oi,COI,COP,Bulidup Conclusion Fut,LB,SB,LC,SC,Net LB,Net SB,Cumulative LB,Cumulative SB
20-11: 14:15,19762.55,62900,10419350,4700,14.75,LB,4700.0,0.0,0.0,0.0,4700.0,0.0,1553000,4641100
20-11: 14:30,19767.1,110450,10419650,300,4.549999999999272,LB,300.0,0.0,0.0,0.0,300.0,0.0,1553300,4641100
20-11: 14:45,19762.3,117500,10446850,27200,-4.799999999999272,SB,0.0,27200.0,0.0,0.0,0.0,27200.0,1553300,4668300
20-11: 15:00,19750.0,145150,10388500,-58350,-12.299999999999272,LC,0.0,0.0,-58350.0,0.0,-58350.0,0.0,1494950,4668300
20-11: 15:15,19751.5,255450,10387100,-1400,1.5,SC,0.0,0.0,0.0,-1400.0,0.0,-1400.0,1494950,4666900
21-11: 09:15,19829.3,445750,10079500,-307600,77.79999999999927,SC,0.0,0.0,0.0,-307600.0,0.0,-307600.0,1494950,4359300
21-11: 09:30,19842.4,180800,10075750,-3750,13.100000000002183,SC,0.0,0.0,0.0,-3750.0,0.0,-3750.0,1494950,4355550
21-11: 09:45,19825.9,152000,10141250,65500,-16.5,SB,0.0,65500.0,0.0,0.0,0.0,65500.0,1494950,4421050
21-11: 10:00,19827.0,118500,10176500,35250,1.0999999999985448,LB,35250.0,0.0,0.0,0.0,35250.0,0.0,1530200,4421050
21-11: 10:15,19839.45,161050,10238150,61650,12.450000000000728,LB,61650.0,0.0,0.0,0.0,61650.0,0.0,1591850,4421050
21-11: 10:30,19840.45,153150,10266000,27850,1.0,LB,27850.0,0.0,0.0,0.0,27850.0,0.0,1619700,4421050
21-11: 10:45,19834.6,98600,10292150,26150,-5.850000000002183,SB,0.0,26150.0,0.0,0.0,0.0,26150.0,1619700,4447200
21-11: 11:00,19836.6,50350,10307450,15300,2.0,LB,15300.0,0.0,0.0,0.0,15300.0,0.0,1635000,4447200
21-11: 11:15,19836.0,76350,10335800,28350,-0.5999999999985448,SB,0.0,28350.0,0.0,0.0,0.0,28350.0,1635000,4475550
21-11: 11:30,19837.1,56800,10355800,20000,1.0999999999985448,LB,20000.0,0.0,0.0,0.0,20000.0,0.0,1655000,4475550
21-11: 11:45,19839.6,41750,10370800,15000,2.5,LB,15000.0,0.0,0.0,0.0,15000.0,0.0,1670000,4475550
21-11: 12:00,19861.2,216050,10371250,450,21.600000000002183,LB,450.0,0.0,0.0,0.0,450.0,0.0,1670450,4475550
21-11: 12:15,19886.0,463050,10438500,67250,24.799999999999272,LB,67250.0,0.0,0.0,0.0,67250.0,0.0,1737700,4475550
21-11: 12:30,19870.45,179600,10392850,-45650,-15.549999999999272,LC,0.0,0.0,-45650.0,0.0,-45650.0,0.0,1692050,4475550
21-11: 12:45,19876.1,62850,10409100,16250,5.649999999997817,LB,16250.0,0.0,0.0,0.0,16250.0,0.0,1708300,4475550
21-11: 13:00,19832.7,252550,10283700,-125400,-43.39999999999782,LC,0.0,0.0,-125400.0,0.0,-125400.0,0.0,1582900,4475550
21-11: 13:15,19848.4,92650,10277250,-6450,15.700000000000728,SC,0.0,0.0,0.0,-6450.0,0.0,-6450.0,1582900,4469100
21-11: 13:30,19866.45,94350,10276350,-900,18.049999999999272,SC,0.0,0.0,0.0,-900.0,0.0,-900.0,1582900,4468200
