Date,DII,FII,Pro
02-05-2023,-20497,-68750,81252
03-May-2023,-20497.0,-59429.0,64885.0
04-May-2023,-20559.0,-53299.0,89617.0
05-May-2023,-21257.0,-146644.0,-380071.0
08-May-2023,-25689.0,-41861.0,64018.0
09-May-2023,-25689.0,-92274.0,-139071.0
10-May-2023,-52733.0,-29872.0,134628.0
11-May-2023,-72683.0,-25331.0,49613.0
12-May-2023,-72683.0,29734.0,204586.0
15-May-2023,-73583.0,50738.0,324976.0
16-May-2023,-73583.0,-29586.0,-121340.0
17-May-2023,-97553.0,-138417.0,-198083.0
