Date,DII,FII,Pro
02-05-2023,16767,3466,-666
03-May-2023,19749.0,-12491.0,2958.0
04-May-2023,19488.0,-8110.0,-1854.0
05-May-2023,23579.0,-15787.0,-3263.0
08-May-2023,10779.0,-2450.0,3092.0
09-May-2023,8504.0,-7694.0,13341.0
10-May-2023,10469.0,-4183.0,6287.0
11-May-2023,7381.0,-10999.0,568.0
12-May-2023,6522.0,-14439.0,-6.0
15-May-2023,-69.0,-392.0,4664.0
16-May-2023,3731.0,-4328.0,235.0
17-May-2023,10198.0,-10484.0,-9181.0
