INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTIDX,BANKNIFTY,31-Jul-24,50650.0,51389.0,50605.0,51299.1,51318.0,50934.2,51295.95,51299.1,1158285,-50625,135422,103681311675.75,69126
FUTIDX,BANKNIFTY,28-Aug-24,50990.0,51599.9,50900.0,51512.7,51515.0,51165.1,51295.95,51512.7,1937655,90420,80358,61775636740.5,43208
FUTIDX,BANKNIFTY,25-Sep-24,51398.05,51899.85,51206.55,51812.35,51820.0,51472.2,51295.95,51812.35,135615,12855,5969,4616779333.5,3855
FUTIDX,FINNIFTY,30-Jul-24,23059.95,23354.7,23005.0,23308.95,23315.0,23055.55,23316.7,23308.95,45325,4725,1923,1113836411.25,1099
FUTIDX,FINNIFTY,27-Aug-24,23124.45,23475.0,23124.45,23424.1,23419.9,23172.05,23316.7,23424.1,22050,550,938,547018360.0,652
FUTIDX,FINNIFTY,24-Sep-24,23255.05,23553.8,23255.0,23525.0,23525.0,23264.85,23316.7,23525.0,1150,-225,35,20519881.25,31
FUTIDX,MIDCPNIFTY,29-Jul-24,12449.0,12701.95,12445.0,12688.5,12701.75,12422.35,12687.0,12688.5,976250,-211650,16152,10211403230.0,9895
FUTIDX,MIDCPNIFTY,26-Aug-24,12457.55,12738.15,12457.55,12711.15,12738.15,12445.2,12687.0,12711.15,1838750,301650,16780,10626880815.0,9862
FUTIDX,MIDCPNIFTY,30-Sep-24,12493.95,12733.6,12485.9,12711.95,12722.85,12450.6,12687.0,12711.95,28950,10800,483,305759472.5,337
FUTIDX,NIFTY,29-Aug-24,24475.0,24939.9,24415.0,24915.45,24915.1,24455.4,24834.85,24915.45,14264000,1242150,409727,253509670420.0,152552
FUTIDX,NIFTY,26-Sep-24,24589.95,25044.0,24568.15,25022.65,25030.0,24580.85,24834.85,25022.65,930950,177300,34132,21221447406.25,19437
FUTIDX,NIFTY,31-Oct-24,24700.0,25166.15,24680.3,25146.0,25155.05,24888.55,24834.85,25146.0,82075,82075,6310,3942623506.25,3401
FUTIDX,NIFTYNXT50,26-Jul-24,72311.2,73429.6,72311.2,73399.3,73407.0,72215.2,73400.65,73400.65,2470,-2100,895,653579851.0,592
FUTIDX,NIFTYNXT50,30-Aug-24,72600.0,73644.0,72600.0,73588.9,73450.0,72462.1,73400.65,73588.9,9440,2670,751,550272530.0,522
FUTIDX,NIFTYNXT50,27-Sep-24,73120.0,73850.0,73120.0,73812.75,73751.0,72494.05,73400.65,73812.75,310,-20,33,24250196.0,33
FUTSTK,AARTIIND,29-Aug-24,696.55,717.75,695.8,711.05,710.35,695.55,707.45,711.05,11853000,185000,3642,2590688400.0,2983
FUTSTK,AARTIIND,26-Sep-24,700.8,722.0,700.8,715.4,715.9,700.5,707.45,715.4,214000,4000,211,151122800.0,200
FUTSTK,AARTIIND,31-Oct-24,706.75,723.0,706.75,720.25,720.7,704.6,707.45,720.25,6000,6000,7,5036450.0,6
