Client Type,Future Index Long,Future Index Short,Total_Future_OI,percentage_long,percentage_short,total_long_absolute,Long_vs_Short
DII,47664,41142,88806,53.67204918586582,46.32795081413418,6522.0,1.1585241359194984
FII,85811,100250,186061,46.11982091894593,53.88017908105406,-14439.0,0.8559700748129676
Pro,38363,38369,76732,49.99609028827608,50.00390971172393,-6.0,0.9998436237587636
