CE_OI,CE_CHNG_IN_OI,CE_Volume,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_PRICE,CE_ASK_QTY,strikePrice,PE_CHNG_IN_OI,PE_Volume,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_PRICE,PE_ASK_QTY,PE_OI,Nifty Current Price
5361,1915,10725,24.3,0.8,0.050000000000000044,3750,0.8,0.85,7500,20750,0,0,0.0,0.0,0.0,4450,895.35,904.45,250,1,19839.55
20045,2217,19421,25.27,0.75,0.050000000000000044,12400,0.75,0.8,8600,20800,0,0,0.0,0.0,0.0,150,947.35,962.05,4450,10,19839.55
3579,-72,9864,26.41,0.8,0.10000000000000009,7000,0.75,0.8,6600,20850,0,0,0.0,0.0,0.0,1200,995.2,1013.75,200,0,19839.55
11463,1266,11893,27.75,0.8,0.10000000000000009,7450,0.75,0.8,11650,20900,0,0,0.0,0.0,0.0,250,1046.75,1065.6,650,6,19839.55
3315,-172,8669,28.45,0.7,0.04999999999999993,5000,0.65,0.7,12900,20950,0,0,0.0,0.0,0.0,100,1098.35,1114.6,150,1,19839.55
36568,-1568,31322,29.57,0.75,0.050000000000000044,3400,0.7,0.75,11800,21000,-18,24,49.01,1170.65,-85.14999999999986,100,1149.1,1154.25,1000,241,19839.55
1973,-422,6975,30.43,0.65,0.0,5950,0.65,0.7,5350,21050,0,0,0.0,0.0,0.0,800,1190.4,1214.1,350,0,19839.55
6149,-230,10029,31.25,0.6,0.0,6900,0.6,0.65,16850,21100,0,1,57.42,1280.7,322.80000000000007,400,1244.0,1263.8,250,0,19839.55
2038,-61,3814,32.04,0.55,-0.04999999999999993,21450,0.55,0.65,20450,21150,0,0,0.0,0.0,0.0,450,1290.15,1313.8,250,0,19839.55
4014,-312,5115,33.68,0.65,0.050000000000000044,4350,0.6,0.65,15600,21200,0,0,0.0,0.0,0.0,250,1344.05,1374.6,250,0,19839.55
1827,-148,3053,34.75,0.65,0.09999999999999998,5850,0.6,0.65,5300,21250,0,0,0.0,0.0,0.0,250,1393.85,1424.8,250,0,19839.55
2828,25,1550,35.52,0.6,-0.050000000000000044,7450,0.6,0.65,6100,21300,0,0,0.0,0.0,0.0,250,1433.8,1474.8,250,0,19839.55
1792,-142,842,36.57,0.6,0.0,9500,0.55,0.65,4650,21350,0,0,0.0,0.0,0.0,1800,1480.4,1553.5,750,0,19839.55
2015,-101,1716,37.62,0.6,-0.050000000000000044,9150,0.55,0.6,8250,21400,0,0,0.0,0.0,0.0,1800,1530.3,1603.75,750,0,19839.55
583,-21,995,38.66,0.6,0.0,900,0.6,0.65,4900,21450,0,0,0.0,0.0,0.0,1800,1580.25,1653.75,750,0,19839.55
56691,-12205,33592,39.7,0.6,-0.09999999999999998,85550,0.6,0.65,33900,21500,0,0,0.0,0.0,0.0,250,1647.25,1673.15,250,0,19839.55
809,-212,527,40.0,0.5,-0.15000000000000002,21850,0.5,0.55,3550,21550,0,0,0.0,0.0,0.0,1800,1680.15,1753.85,750,0,19839.55
22997,-26,12521,41.75,0.6,-0.09999999999999998,17350,0.6,0.65,9250,21600,0,0,0.0,0.0,0.0,1800,1730.15,1803.9,750,0,19839.55
4680,-192,994,42.41,0.55,-0.09999999999999998,4800,0.5,0.55,2850,21650,0,1,104.55,1906.25,470.75,1800,1780.4,1853.85,750,0,19839.55
38709,-1045,21952,42.59,0.45,-0.14999999999999997,116750,0.45,0.5,98650,21700,0,0,0.0,0.0,0.0,200,1831.4,1885.9,200,2,19839.55
